numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000001|00000588|REPUESTOS WYDA MOTORS, C.A (REPUESTOS WYDA MOTORS, C.A)|20230630|OK|D0010273|12.5200|02|05
DV000002|00000662|AUTOREPUESTOS CHEVY CENTER, C.A|20230630|OK||95.9000|02|01
DV000003|00000621|REPUESTOS SUPER CASANOVA. C.A|20230630|PE||10.0800|01|05
DV000004|00000448|INVERSIONES 297, C.A. (INVERSIONES 297, C.A.)|20230630|PE||125.5200|21|01
DV000005|00000278|AUTO REPUESTOS WS, C.A|20230703|PE||14.0000|04|05
DV000006|00000233|REPUESTOS Y SERVICIOS MECANICOS LUCHO C.A|20230703|PE||75.6400|04|01
DV000007|00000233|REPUESTOS Y SERVICIOS MECANICOS LUCHO C.A|20230703|PE||107.4400|04|01
DV000008|00000393|CARS PARTS SUR, C.A|20230703|PE||40.9100|04|05
DV000009|00000502|CASA ESTER IMPORTACIONES, CA ("PK AUTOPARTES")|20230703|PE||18.0000|04|01
DV000010|00000631|DORAUTO IMPORTS, C.A|20230703|PE||51.4200|02|01
DV000011|00000498|AUTO PARTES SAHARI 2012, C.A (AUTO PARTES SAHARI 2012, C.A)|20230703|PE||24.0000|19|05
DV000012|00000390|AUTOREPUESTO SILDEMAR MVR C.A|20230703|PE||15.0000|29|05
DV000013|00000132|REPUESTOS KOREA PARTS, C.A|20230703|PE||22.0800|02|05
DV000014|00000699|REDDY MOTOR S CA|20230704|PE||45.8800|21|01
DV000015|00000679|KORE PARTS, C.A|20230704|PE||107.3300|01|01
DV000016|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20230704|PE||19.9300|02|05
DV000017|00000140|JOSE LUIS GOMEZ MAUHAD(INVERSIONES AGUA FRIA J.G-1)|20230704|PE||374.1800|30|01
DV000018|00000198|AUTOTIENDA VELOCITY SERVICES, C.A|20230706|PE||23.8500|01|05
DV000019|00000697|AUTO REPUESTOS YANOHE 2022, C.A|20230707|OK|NC000398|264.0000|30|01
DV000020|00000095|AUTO REPUESTOS PICHA, C.A.|20230710|PE||29.0000|34|01
DV000021|00000095|AUTO REPUESTOS PICHA, C.A.|20230710|PE||9.8600|34|05
DV000022|00000700|AUTO REPUESTOS Y ACCESORIOS COSARKA LA CASA DEL CORSA, C.A.|20230710|PE||73.7900|34|01
DV000023|00000607|RONMAR MOTORS 77, C.A|20230710|PE||87.5000|19|01
DV000024|00000607|RONMAR MOTORS 77, C.A|20230717|OK|NC000405|22.5500|19|05
DV000025|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)|20230717|OK|NC000404|20.0100|01|05
DV000026|00000357|HK MOTOR'S, C.A|20230720|PE||37.4000|02|05
DV000027|00000632|HK MOTORS CEDENO C.A.|20230720|PE||71.0900|02|05
DV000028|00000626|ELITE CAR,C.A|20230720|PE||9.0300|02|05
DV000029|00000539|INVERSIONES MAGNUN XVI , C.A.  (INVERSIONES MAGNUN XVI , C.A. )|20230721|PE||78.0500|25|05
DV000030|00000139|IMPORTADORA RAYNE, C.A|20230721|PE||50.0000|02|05
DV000031|00000621|REPUESTOS SUPER CASANOVA. C.A|20230728|PE||31.0800|01|05
DV000032|00000403|G.C AUTOPARTES C.A|20230728|PE||118.1000|29|05
DV000033|00000696|REPUESTOS LUBIAUTO 2005, C.A.|20230728|PE||7.8500|19|05
DV000034|00000330|DAVAL, C.A|20230807|OK|NC000427|20.6000|02|05
DV000035|00000631|DORAUTO IMPORTS, C.A|20230807|OK|NC000413|75.0100|02|05
DV000036|00000048|REPUESTOS EL MILENIUM C.A|20230807|OK|NC000412|31.4000|12|05
DV000037|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20230807|OK|NC000414|8.9900|01|05
DV000038|00000106|CEPRAS, C.A|20230807|PE||6.2600|02|05
DV000039|00000614|REPRESENTACIONES PENOV, C.A.|20230808|OK|NC000417|126.7400|19|05
DV000040|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)|20230808|OK|NC000416|45.8900|01|05
DV000041|00000378|REPUESTOS SUPER VICTORIA, C.A|20230808|OK|NC000420|163.7900|01|05
DV000042|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)|20230808|OK|NC000415|29.5300|01|05
DV000043|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)|20230808|OK|NC000418|31.0800|01|05
DV000044|00000276|REPUESTOS EL ASIATICO, C.A|20230809|OK|NC000419|96.0000|25|01
DV000045|00000688|KOREA MOTORS 2020, C.A.|20230809|PE||95.8600|25|05
DV000046|00000039|MGA AUTOPARTES, C.A.|20230814|OK|NC000421|49.6600|02|05
DV000047|00000403|G.C AUTOPARTES C.A|20230814|OK|NC000422|137.8200|29|05
DV000048|00000443|CORPORACION HEROF C.A.|20230814|OK|NC000423|25.4300|19|01
DV000049|00000699|REDDY MOTOR S CA|20230814|OK|NC000424|122.4700|21|01
DV000050|00000431|INVERSIONES M&amp;N CARS, C.A. (INVERSIONES M&amp;N CARS, C.A.)|20230815|OK|NC000425|119.9200|01|05
DV000051|00000362|INVERSIONES VENEKIA, C.A|20230816|OK|NC000426|25.1600|01|01
DV000052|00000671|AUTO REPUESTOS FRANIC C.A.|20230821|OK|NC000429|43.2200|02|01
DV000053|00000631|DORAUTO IMPORTS, C.A|20230821|OK|NC000428|75.0100|02|05
DV000054|00000561|AUTOPARTE MICHELENA 2021, C.A. (AUTOPARTE MICHELENA 2021, C.A.)|20230822|OK|NC000432|55.4900|19|05
DV000055|00000095|AUTO REPUESTOS PICHA, C.A.|20230822|OK|NC000433|96.1200|34|01
DV000056|00000095|AUTO REPUESTOS PICHA, C.A.|20230822|OK|NC000434|316.3600|34|01
DV000057|00000060|REPUESTOS COVECA CA|20230822|OK|NC000435|17.9400|01|05
DV000058|00000061|COVECA CABUDARE CA|20230822|OK|NC000436|59.0500|30|05
DV000059|00000278|AUTO REPUESTOS WS, C.A|20230824|OK|NC000438|14.0000|04|05
DV000060|00000268|AUTOPARTES DE LISLE, C.A|20230824|OK|NC000440|58.8400|04|01
DV000061|00000492|MONACO AUTOPARTS #1, C.A. (MONACO AUTOPARTS #1, C.A.)|20230824|OK|NC000437|63.8100|04|01
DV000062|00000050|LA VICTORIA SERVI PARTS C.A|20230824|OK|NC000439|35.0000|02|01
DV000063|00000001|REPUESTOS POLANCO INVERSIONES, C.A. (REPOINCA)|20230824|PE||10.0000|04|05
DV000064|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20230825|OK|NC000446|32.0000|02|01
DV000065|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20230825|OK|NC000447|25.4300|02|01
DV000066|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20230825|OK|NC000448|26.4600|02|01
DV000067|00000309|REPUESTOS GUALID, C.A|20230825|OK|NC000445|19.3000|25|05
DV000068|00000046|SURTIDORA DE RESPUESTOS KOREANOS,C.A.|20230825|OK|NC000443|19.0000|02|05
DV000069|00000046|SURTIDORA DE RESPUESTOS KOREANOS,C.A.|20230825|OK|NC000444|17.5000|02|05
DV000070|00000320|AUTO REPUESTOS ANGULO C.A|20230825|PE||10.1400|25|05
DV000071|00000679|KORE PARTS, C.A|20230825|OK|NC000442|59.0500|01|05
DV000072|00000090|REPUESTOS FRED CARS, C.A.|20230828|OK|NC000449|21.7300|02|05
DV000074|00000060|REPUESTOS COVECA CA|20230828|PE||10.0800|01|05
DV000075|00000090|REPUESTOS FRED CARS, C.A.|20230829|OK|NC000450|25.0000|02|01
DV000076|00000699|REDDY MOTOR S CA|20230830|OK|NC000451|122.4700|21|05
DV000077|00000623|TE LO TENGO IMPORT 2021, C.A.|20230830|PE||55.0000|30|05
DV000078|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20230901|OK|NC000452|48.0000|01|01
DV000079|00000117|REPUESTOS AUTOZONE, C.A|20230904|OK|NC000453|116.4300|01|01
DV000080|00000623|TE LO TENGO IMPORT 2021, C.A.|20230904|PE||10.5400|30|05
DV000081|00000400|AUTOREPUESTOS ENRIQUETA, C.A. (AUTOREPUESTOS ENRIQUETA, C.A.)|20230905|OK|NC000455|12.2400|02|05
DV000082|00000060|REPUESTOS COVECA CA|20230906|OK|NC000457|10.0800|01|05
DV000083|00000491|REPUESTOS EL MILENIUM 2002, C.A. (REPUESTOS EL MILENIUM 2002, C.A|20230908|OK|NC000458|6.4000|01|05
DV000084|00000631|DORAUTO IMPORTS, C.A|20230911|OK|NC000459|44.4000|02|05
