codmovcli|numdoc|tipo|emision|importe|formapag|banco|moneda|tasadolar|numpag
00000005|00857554|FC|20210421|-1150.0700|||US$|0.0000|
00000005|00857554|NC|20210420|118.0800|||US$|0.0000|
00000005|00857554|NC|20210421|29.5200||||0.0000|
00000005|00857573|FC|20210421|-77.2500|||US$|0.0000|
00000005|00857573|NC|20210420|7.4800|||US$|0.0000|
00000005|00857573|NC|20210421|1.8700||||0.0000|
00000005|00857627|FC|20210429|-453.0300|||US$|0.0000|
00000005|00857627|NC|20210426|45.0800|||US$|0.0000|
00000005|00857627|NC|20210429|11.2700||||0.0000|
00000005|00851073|FC|20201223|-78.2500|||US$|0.0000|
00000005|00851073|NC|20201221|7.5700|||US$|0.0000|
00000005|00858189|FC|20210504|-459.1500|||US$|0.0000|
00000005|00858189|NC|20210503|46.5800|||US$|0.0000|
00000005|00858189|NC|20210504|3.8800||||0.0000|
00000005|00858670|FC|20210511|-599.3500|||US$|0.0000|
00000005|00858670|NC|20210510|59.9900|||US$|0.0000|
00000005|00858670|NC|20210511|15.0000||||0.0000|
00000002|21C01|FC|20210517|-0.1200|||US$|0.0000|
00000002|21C01|NC|20210517|0.0000||||0.0000|
00000002|21C01|AB|20210518|0.0800|TR||US$|0.0000|00000001
00000002|21C01|CA|20210518|0.0400|TR||US$|0.0000|234930
00000005|00855942|FC|20210518|-1448.3600|||US$|0.0000|
00000005|00855942|NC|20210517|143.9500|||US$|0.0000|
00000005|00855942|NC|20210518|37.6900||||0.0000|
00000048|00019592|FC|20210518|-0.0100|||US$|0.0000|
00000048|00019592|NC|20210518|0.0000||||0.0000|
00000048|00019594|FC|20210518|0.0000|||US$|0.0000|
00000048|00019594|NC|20210518|0.0000||||0.0000|
00000048|00019593|FC|20210518|-0.0100|||US$|0.0000|
00000048|00019593|NC|20210518|0.0000||||0.0000|
00000005|00859042|FC|20210518|-1448.3600|||US$|0.0000|
00000005|00859042|NC|20210517|143.9500|||US$|0.0000|
00000005|00859042|NC|20210518|35.9900||||0.0000|
00000005|00859424|FC|20210525|-553.4500|||US$|0.0000|
00000005|00859424|NC|20210524|55.4600|||US$|0.0000|
00000005|00859424|NC|20210525|13.8600||||0.0000|
00000005|00859445|FC|20210525|-36.4400|||US$|0.0000|
00000005|00859445|NC|20210524|3.5300|||US$|0.0000|
00000005|00859445|NC|20210525|0.8800||||0.0000|
00000005|00859803|FC|20210601|-333.0200|||US$|0.0000|
00000005|00859803|NC|20210531|33.2500|||US$|0.0000|
00000005|00859803|NC|20210601|8.3100||||0.0000|
00000005|00859803|CA|20210601|291.4500|CH||US$|0.0000|199386
00000005|860178|FC|20210611|-960.4500|||US$|0.0000|
00000005|860178|NC|20210607|94.4300|||US$|0.0000|
00000005|860178|NC|20210611|23.6100||||0.0000|
00000005|860178|CA|20210611|842.4100|CH||US$|0.0000|332074
00000005|860637|FC|20210615|-652.2000|||US$|0.0000|
00000005|860637|NC|20210614|65.0000|||US$|0.0000|
00000005|860637|NC|20210615|16.2500||||0.0000|
00000005|860637|CA|20210618|570.9500|TR||US$|0.0000|766233
00000005|861053|FC|20210623|-783.4200|||US$|0.0000|
00000005|861053|NC|20210621|77.6100|||US$|0.0000|
00000005|861053|NC|20210623|19.4000||||0.0000|
00000005|861053|CA|20210623|686.4100|TR||US$|0.0000|861876
00000005|861438|FC|20210629|-589.2700|||US$|0.0000|
00000005|861438|NC|20210628|58.7800|||US$|0.0000|
00000005|861438|NC|20210629|14.6900||||0.0000|
00000005|861438|CA|20210629|515.8000|TR||US$|0.0000|949631
00000005|861881|FC|20210706|-438.5700|||US$|0.0000|
00000005|861881|NC|20210707|43.8600|||US$|0.0000|
00000005|861881|NC|20210706|10.9600||||0.0000|
00000005|861895|FC|20210706|-23.9600|||US$|0.0000|
00000005|861895|NC|20210707|2.3200|||US$|0.0000|
00000005|861895|NC|20210706|0.5800||||0.0000|
00000005|861881|CA|20210707|383.7500|TR||US$|0.0000|453109
00000005|861895|CA|20210707|21.0600|TR||US$|0.0000|453109
00000005|862332|FC|20210713|-904.5900|||US$|0.0000|
00000005|862332|NC|20210712|91.3500|||US$|0.0000|
00000005|862332|NC|20210713|22.8400||||0.0000|
00000005|862332|CA|20210714|790.4100|TR||US$|0.0000|849275
00000005|862749|FC|20210720|-73.1300|||US$|0.0000|
00000005|862749|NC|20210719|7.0800|||US$|0.0000|
00000005|862749|NC|20210720|1.7700||||0.0000|
00000005|862749|CA|20210720|64.2800|TR||US$|0.0000|455871
00000084|00058|FC|20210720|-2724.8500|||US$|0.0000|
00000084|00058|NC|20210720|281.8800|||US$|0.0000|
00000084|00058|NC|20210720|46.9800||||0.0000|
00000005|863157|FC|20210728|-7585.4200|||US$|0.0000|
00000005|863157|NC|20210726|770.8300|||US$|0.0000|
00000005|863157|NC|20210728|192.7100||||0.0000|
00000005|863518|FC|20210803|-25.7000|||US$|0.0000|
