CODMOVCLI|NUMDOC|TIPO|CODVEN|EMISION|VENCE|IMPORTE|REFER|CONCEPTO
00000503|D0009966|AB|01|8/1/2024|9/1/2024|-19,76||CANC.MULT.REC.COB No.
00000503|D0009967|AB|01|8/1/2024|9/1/2024|-565,46||CANC.MULT.REC.COB No.
00000503|D0009969|AB|01|8/1/2024|9/1/2024|-414,78||CANC.MULT.REC.COB No.
00000355|D0009785|AB|01|8/1/2024|18/11/2023|-728,43||CANC.MULT.REC.COB No.
00000355|D0009786|AB|01|8/1/2024|18/11/2023|-745,82||CANC.MULT.REC.COB No.
00000355|D0009843|AB|01|8/1/2024|24/11/2023|-25,75||CANC.MULT.REC.COB No.
00000414|D0010266|NC||8/1/2024|8/1/2024|-49,35|DCTO.P.PAG|DCTO P/PAGO AL 10.00%
00000730|D0010315|FC|25|8/1/2024|7/2/2024|1722,02||FACTURA D0010315
00000414|D0010266|CA|02|5/1/2024|10/1/2024|-444,19||FACTURA D0010266
00000563|D0009747|CA|01|8/1/2024|16/11/2023|-200,00||FACTURA D0009747
00000360|D0010314|FC|01|8/1/2024|7/2/2024|2104,27||FACTURA D0010314
00000060|D0010316|FC|01|8/1/2024|7/2/2024|258,12||FACTURA D0010316
00000051|D0010317|FC|19|8/1/2024|7/2/2024|1225,35||FACTURA D0010317
00000626|D0010098|CA|02|8/1/2024|22/12/2023|-306,44||FACTURA D0010098
00000051|D0010318|FC|19|8/1/2024|7/2/2024|374,17||FACTURA D0010318
00000644|D0010319|FC|19|8/1/2024|7/2/2024|668,07||FACTURA D0010319
00000100|D0010321|FC|25|8/1/2024|7/2/2024|481,70||FACTURA D0010321
00000709|D0009445|AB|01|8/1/2024|14/10/2023|-250,72||CANC.MULT.REC.COB No.
00000709|D0009446|AB|01|8/1/2024|14/10/2023|-169,28||CANC.MULT.REC.COB No.
00000403|D0010323|FC|29|8/1/2024|7/2/2024|893,26||FACTURA D0010323
00000720|D0010207|NC||8/1/2024|8/1/2024|-58,71|DCTO.P.PAG|DCTO P/PAGO AL 15.00%
00000720|D0010207|CA|33|8/1/2024|4/1/2024|-332,67||FACTURA D0010207
00000324|D0009988|CA|02|8/1/2024|9/12/2023|-200,03||FACTURA D0009988
00000727|D0010324|FC|35|8/1/2024|7/2/2024|947,27||FACTURA D0010324
00000727|D0010325|FC|35|8/1/2024|7/2/2024|188,52||FACTURA D0010325
00000385|D0009859|CA|25|8/1/2024|10/12/2023|-100,09||CANC.MULT.REC.COB No.
00000385|D0009860|CA|25|8/1/2024|25/11/2023|-180,38||CANC.MULT.REC.COB No.
00000470|D0010313|FC|02|8/1/2024|7/2/2024|1059,70||FACTURA D0010313
00000355|D0010328|FC|01|8/1/2024|22/2/2024|1428,41||FACTURA D0010328
00000355|D0010329|FC|01|8/1/2024|22/2/2024|112,20||FACTURA D0010329
00000586|D0008410|CA|05|9/1/2024|26/6/2023|-17,31||CANC.MULT.REC.COB No.
00000586|D0008411|CA|05|9/1/2024|26/6/2023|-25,58||CANC.MULT.REC.COB No.
00000341|D0009556|CA|05|9/1/2024|22/10/2023|-400,00||FACTURA D0009556
00000662|D0010327|FC|02|8/1/2024|7/2/2024|826,46||FACTURA D0010327
00000716|D0010330|FC|02|9/1/2024|23/2/2024|1527,57||FACTURA D0010330
00000716|D0010331|FC|02|9/1/2024|23/2/2024|1254,83||FACTURA D0010331
00000716|D0010332|FC|02|9/1/2024|23/2/2024|508,52||FACTURA D0010332
00000537|D0010333|FC|02|9/1/2024|8/2/2024|514,47||FACTURA D0010333
00000537|D0010334|FC|02|9/1/2024|8/2/2024|341,84||FACTURA D0010334
00000081|D0010335|FC|30|9/1/2024|8/2/2024|608,76||FACTURA D0010335
00000081|D0010336|FC|30|9/1/2024|8/2/2024|152,18||FACTURA D0010336
