CODMOVART|FECHA_MOV|TIPINV|CANTIDAD|ALMACEN|NUMDOC
0B37C-10602A|31/12/2023|EN|-45|01|AP000001
0B37C-10602B|31/12/2023|EN|380|01|AP000002
0K01134160A|31/12/2023|EN|350|01|AP000003
0K01134160A-SE|31/12/2023|EN|84|01|AP000004
0K201-11312|31/12/2023|EN|140|01|AP000005
0K201-11312.|31/12/2023|EN|1181|01|AP000006
0K2A1-17400|31/12/2023|EN|27|01|AP000007
0K2A1-17400|31/12/2023|EN|3|05|AP000007
0K2A116510-OEM|31/12/2023|EN|373|01|AP000008
0K2A116510A|31/12/2023|EN|105|01|AP000009
0K2AA20490|31/12/2023|EN|27|01|AP000010
0K30A-1335ZA|31/12/2023|EN|5|01|AP000011
0K30A-1335ZB-K|31/12/2023|EN|-12|01|AP000012
0K30A-13480-K|31/12/2023|EN|-29|01|AP000013
0K30A-13480-SEO|31/12/2023|EN|200|01|AP000014
0K30A-15185C|31/12/2023|EN|-19|01|AP000015
0K30A-18-10X|31/12/2023|EN|24|01|AP000016
0K30A-18891-DHM|31/12/2023|EN|39|01|AP000017
0K30A-18891-DHM|31/12/2023|EN|1|05|AP000017
0K30A-41150-PMC|31/12/2023|EN|73|01|AP000018
0K30A-43400C|31/12/2023|EN|1|01|AP000019
0K30A-60960|31/12/2023|EN|57|01|AP000020
0K30C-11210-SEO|31/12/2023|EN|70|01|AP000021
0K30C-16460|31/12/2023|EN|14|01|AP000022
0K30C-59560-KP|31/12/2023|EN|76|01|AP000023
0K30C-59560C|31/12/2023|EN|26|01|AP000024
0K30E-10100-SEO|31/12/2023|EN|40|01|AP000025
0K30E-10155|31/12/2023|EN|4|01|AP000026
0K30E-10155-OEM|31/12/2023|EN|195|01|AP000027
0K30E-10602|31/12/2023|EN|-12|01|AP000028
0K30E-12420A|31/12/2023|EN|16|01|AP000029
0K30E-12420A-SE|31/12/2023|EN|100|01|AP000030
0K30E-15186B|31/12/2023|EN|-29|01|AP000031
0K30E-18140|31/12/2023|EN|241|01|AP000032
0K30E-18140-SE|31/12/2023|EN|89|01|AP000033
0K30F-14100D|31/12/2023|EN|24|01|AP000034
0K30F-14100D|31/12/2023|EN|2|05|AP000034
0K30F14100D-PM|31/12/2023|EN|49|01|AP000035
0K3Y-11XBX|31/12/2023|EN|34|01|AP000036
0K3Y0-11SC0|31/12/2023|EN|10|01|AP000037
0K3Y0-SE0-STD|31/12/2023|EN|5|01|AP000038
0K3Y0-SE0-STD|31/12/2023|EN|2|05|AP000038
0K3Y1-11SBX-020|31/12/2023|EN|1|01|AP000039
0K50F-18840|31/12/2023|EN|0|01|AP000040
0K50F-18840|31/12/2023|EN|2|05|AP000040
0K60A-15-185|31/12/2023|EN|-9|01|AP000041
0K60A-34-156|31/12/2023|EN|338|01|AP000042
0K60C-23-570|31/12/2023|EN|369|01|AP000043
0K60C-23570-SEO|31/12/2023|EN|159|01|AP000044
0K60E-41920-SEO|31/12/2023|EN|492|01|AP000045
0K60E-41920-SEO|31/12/2023|EN|3|05|AP000045
0K65A-10104A-SE|31/12/2023|EN|187|01|AP000046
0K65A14100E|31/12/2023|EN|54|01|AP000047
0K65A14100E-SEO|31/12/2023|EN|128|01|AP000048
0K65B-10220B|31/12/2023|EN|1|01|AP000049
0K65D-12111-121|31/12/2023|EN|9|01|AP000050
0K6A1-10155-SEO|31/12/2023|EN|728|01|AP000051
0K6Z1-11SE0-SEO|31/12/2023|EN|135|01|AP000052
0K6Z2-11SG0-SEO|31/12/2023|EN|609|01|AP000053
0K6Z2-11SH0-SEO|31/12/2023|EN|600|01|AP000054
0K6Z211SHX-PMC|31/12/2023|EN|5|01|AP000055
0K71E17336A|31/12/2023|EN|66|01|AP000056
0K72A-16460|31/12/2023|EN|8|01|AP000057
0K72A-26610|31/12/2023|EN|81|01|AP000058
0K72A-32-270|31/12/2023|EN|7|01|AP000059
0K72A-32240|31/12/2023|EN|95|01|AP000060
0K72A-32270A|31/12/2023|EN|20|01|AP000061
0K72A-32600-SE|31/12/2023|EN|0|01|AP000062
0K72A-32600-SE|31/12/2023|EN|1|05|AP000062
0K72A-32600B|31/12/2023|EN|0|01|AP000063
0K72A-32600B|31/12/2023|EN|1|05|AP000063
0K72A-33-047|31/12/2023|EN|47|01|AP000064
0K72A-34-510A|31/12/2023|EN|140|01|AP000065
0K72A-34200-A|31/12/2023|EN|81|01|AP000066
0K72A-34200A-SE|31/12/2023|EN|32|01|AP000067
0K72A-34510-KP|31/12/2023|EN|25|01|AP000068
0K72A-43400|31/12/2023|EN|22|01|AP000069
0K72A-43400-K|31/12/2023|EN|41|01|AP000070
0K72A-43400-K|31/12/2023|EN|1|05|AP000070
0K72A43400-SEON|31/12/2023|EN|71|01|AP000071
0K72A72410B|31/12/2023|EN|415|01|AP000072
0K72B-13850E|31/12/2023|EN|0|01|AP000073
0K72B-13850E|31/12/2023|EN|1|05|AP000073
0K72B-13850E-SE|31/12/2023|EN|257|01|AP000074
0K72B-13850E-SE|31/12/2023|EN|2|05|AP000074
0K72B-15909B|31/12/2023|EN|446|01|AP000075
0K72B-46500|31/12/2023|EN|130|01|AP000076
0K72C-13100B-K|31/12/2023|EN|36|01|AP000077
0K72C-13100B-SE|31/12/2023|EN|21|01|AP000078
0K72F-33-251|31/12/2023|EN|35|01|AP000079
0K74P28700A|31/12/2023|EN|44|01|AP000080
0K74R-23-603|31/12/2023|EN|49|01|AP000081
0K74R-23603-SEO|31/12/2023|EN|38|01|AP000082
0K74T34720B|31/12/2023|EN|32|01|AP000083
0K75A-10-100-SE|31/12/2023|EN|40|01|AP000084
0K75A-10100|31/12/2023|EN|46|01|AP000085
0K75A-10270B-SE|31/12/2023|EN|100|01|AP000086
0K75A-10311B|31/12/2023|EN|0|01|AP000087
0K75A-10311B|31/12/2023|EN|1|05|AP000087
0K75A-10311B-SE|31/12/2023|EN|21|01|AP000088
0K75A-11-201C-S|31/12/2023|EN|32|01|AP000089
0K75A-39040-KP|31/12/2023|EN|80|01|AP000090
0K75A-46600C|31/12/2023|EN|81|01|AP000091
0K75A10271-SEON|31/12/2023|EN|200|01|AP000092
0K75A10311B|31/12/2023|EN|1|01|AP000093
0K75A39040|31/12/2023|EN|398|01|AP000094
0K75A39040-KP|31/12/2023|EN|276|01|AP000095
0K75A46600D|31/12/2023|EN|3|01|AP000096
0K75B-18140-SEO|31/12/2023|EN|810|01|AP000097
0K75B-18140-SEO|31/12/2023|EN|1|05|AP000097
0K75B3328Z-PMC|31/12/2023|EN|-2|01|AP000098
0K77P-15200B|31/12/2023|EN|8|01|AP000099
0K77P-15200B-SE|31/12/2023|EN|48|01|AP000100
0K79A-13-341|31/12/2023|EN|74|01|AP000101
0K79A-13341-SEO|31/12/2023|EN|289|01|AP000102
0K79A-17201|31/12/2023|EN|30|01|AP000103
0K79A-18300|31/12/2023|EN|1|01|AP000104
0K79A-32110A-SE|31/12/2023|EN|26|01|AP000105
0K7Z1-11SA0|31/12/2023|EN|20|01|AP000106
0K7Z1-11SA0-KRK|31/12/2023|EN|18|01|AP000107
0K7Z1-11SA0-SEO|31/12/2023|EN|63|01|AP000108
0KW58-18-990|31/12/2023|EN|32|01|AP000109
0S08941400-X2|31/12/2023|EN|239|01|AP000110
0S08941990-SEON|31/12/2023|EN|371|01|AP000111
0VNY-11SF0-SEON|31/12/2023|EN|645|01|AP000112
0VNY1-11-SFX|31/12/2023|EN|3|01|AP000113
0VNY111SF0-PMC|31/12/2023|EN|1|01|AP000114
0VS0110137A|31/12/2023|EN|168|01|AP000115
0VS0110602|31/12/2023|EN|61|01|AP000116
101YU20|31/12/2023|EN|69|01|AP000117
105RU22|31/12/2023|EN|78|01|AP000118
110S8M22|31/12/2023|EN|42|01|AP000119
113RU24|31/12/2023|EN|21|01|AP000120
137S8M22|31/12/2023|EN|121|01|AP000121
163RU25|31/12/2023|EN|66|01|AP000122
170753|31/12/2023|EN|100|01|AP000123
175S8M29|31/12/2023|EN|108|01|AP000124
18840-11051|31/12/2023|EN|36|01|AP000125
2068|31/12/2023|EN|48|01|AP000126
207YU32|31/12/2023|EN|119|01|AP000127
20910-02H00-SEO|31/12/2023|EN|4|01|AP000128
20910-23C21-SE|31/12/2023|EN|1|01|AP000129
