codmovban|fecha_mov|tipban|numdoc|concepto|importe|dimporte|tasadolar|tiporg|concilia
00004|20260107|TR|602007|CANCELACION CXC|70200.0000|100.0000|702.0000|CA|F
E0028|20260107|TR|JUAN D 0|CANCELACION CXC|499.5800|499.5800|1.0000|CA|F
00004|20260107|CH|040892|CANC CONDOMINIO JR TM II B802|-33132.2800|-47.3300|700.0000||F
00004|20260107|CH|040511|CANC CONDOMINIO JR TM II B801|-33132.2800|-47.3300|700.0000||F
00004|20260107|TR|106015|TRANSF FONDO AL BANESCO DHM|-170000.0000|-551.6790|308.1500|IN|F
00003|20260107|DP|106015|TRANSF FONDO AL BANESCO DHM|170000.0000|551.6790|308.1500|IN|F
00003|20260107|CH|1060151|COM OTROS BANCOS|-2550.0000|-8.2800|308.1500||F
00003|20260107|CH|793275|CANC VECONINTER NAC SEONG ENER 25|-149988.9300|-214.2700|700.0000||F
00004|20260107|CH|704380|CANC CMA CGM LIBERAC BL NAC SEONG|-24652.0000|-35.2200|700.0000||F
00004|20260107|CH|905029|CANC CORRECCION SAPI ZENTRA|-36978.0000|-120.0000|308.1500||F
00004|20260107|ND|905029|Comision Bancaria Doc No.:905029|-110.9300|0.0000|308.1500|DB|F
V0108|20260107|DP|905029|CANC CORRECCION SAPI ZENTRA|120.0000|0.4000|1.0000||F
00004|20260107|CH|055605|CANC COMPLE INCES IV 2025|-2434.8800|-7.8100|311.8800||F
00004|20260107|ND|055605|Comision Bancaria Doc No.:055605|-7.3000|0.0000|311.8800|DB|F
00004|20260107|CH|052507|CANC INCES IV 2025 UTILIDADES|-2501.5800|-8.0200|311.8800||F
00004|20260107|ND|052507|Comision Bancaria Doc No.:052507|-7.5000|0.0000|311.8800|DB|F
00004|20260107|CH|051637|CANC INCES IV 2025 APORTES|-9450.0000|-30.3000|311.8800||F
00004|20260107|ND|051637|Comision Bancaria Doc No.:051637|-28.3500|0.0000|311.8800|DB|F
00004|20260107|CH|491252|CANC BANAVIH DIC 2025|-5816.2500|-18.6500|311.8800||F
00004|20260107|ND|491252|Comision Bancaria Doc No.:491252|-17.4500|0.0000|311.8800|DB|F
00005|20260102|DP|154426|RECP PAGO MOVIL JR|200000.0000|363.6400|550.0000||F
00005|20260105|CH|0512261|CANC GASTO PERSONAL JR 01AL050126|-46707.8000|0.0000|550.0000||F
00005|20260105|ND|0512261|Comision Bancaria Doc No.:0512261|-53.1000|0.0000|550.0000|DB|F
00004|20260106|TR|931512|CANCELACION CXC|253497.7200|393.6300|644.0000|CA|F
00004|20260106|CH|182169|CANC GASTO PERSONAL JR (PEDRO)|-2000.0000|-3.2500|615.0000||F
00004|20260106|ND|182169|Comision Bancaria Doc No.:182169|-6.0000|0.0000|615.0000|DB|F
E0028|20260102|DP|020126|RECP FC 170 CLAUDIA JOSE PI 020126|170.0000|0.5700|1.0000||F
00004|20260102|CH|581414|CANC GASTO PERSONAL JR|-200600.0000|-364.7300|550.0000||F
00004|20260102|ND|581414|Comision Bancaria Doc No.:581414|-603.8000|0.0000|550.0000|DB|F
00004|20260103|CH|095552|CANC INTERNET JR TERRA MIA|-21321.5100|-38.7700|550.0000||F
00004|20260103|CH|096384|CANC INTERNET JR MONTE REAL|-19247.4600|-35.0000|550.0000||F
E0028|20260108|TR|ANGEL 07|CANCELACION CXC|100.0000|100.0000|1.0000|CA|F
E0025|20260108|TR|276224|CANCELACION CXC|200.0000|200.0000|1.0000|CA|F
00004|20260108|TR|233100|CANCELACION CXC|64260.0000|85.0000|756.0000|CA|F
V0033|20260108|TR|ANGOSTUR|CANCELACION CXC|281.1000|281.1000|1.0000|CA|F
00003|20260108|TR|1300595|CANCELACION CXC|325.0000|1.0500|309.5200|CA|F
V0004|20260108|TR|070126|CAMBIO ROBERTO CARLOS 070126|-60.0000|-60.0000|1.0000|IN|F
E0028|20260108|DP|070126|CAMBIO ROBERTO CARLOS 070126|60.0000|60.0000|1.0000|IN|F
E0012|20260108|TR|081226|TRANSF FONDO AL CHASE DHM USA|-38000.0000|-38000.0000|1.0000|IN|F
E0007|20260108|DP|081226|TRANSF FONDO AL CHASE DHM USA|38000.0000|38000.0000|1.0000|IN|F
E0007|20260108|CH|080126|CANC FINAL SEONG AGOS 25|-37785.3100|-121.1500|1.0000||F
E0007|20260108|CH|221225|CANC FINAL PMC DIC 25|-154327.5200|-494.8300|1.0000||F
V0099|20260108|TR|080126|RECP EFEC CAMBIO USDT HECTOR|-200.0000|-200.0000|1.0000|IN|F
E0003|20260108|DP|080126|RECP EFEC CAMBIO USDT HECTOR|200.0000|200.0000|1.0000|IN|F
V0105|20260108|TR|221225|RECP PREST ESPC SENDAI PAGO KOREA|-47255.0000|-47255.0000|1.0000|IN|F
E0007|20260108|DP|221225|RECP PREST ESPC SENDAI PAGO KOREA|47255.0000|47255.0000|1.0000|IN|F
00004|20260108|TR|469281|CANCELACION CXC|71400.0000|100.0000|714.0000|CA|F
00003|20260108|CH|300595|COM OTROS BANCOS|-4.8800|-0.0200|311.8800||F
V0033|20260112|TR|750760|TRANSF EFECT GABRIEL 750760|-280.0000|-280.0000|1.0000|IN|F
E0015|20260112|DP|750760|TRANSF EFECT GABRIEL 750760|280.0000|280.0000|1.0000|IN|F
V0019|20260112|TR|ARBOLEDA|CANCELACION CXC|265.1000|265.1000|1.0000|CA|F
E0028|20260112|TR|JESUS 09|CANCELACION CXC|122.1500|122.1500|1.0000|CA|F
00003|20260112|TR|1022647|CANCELACION CXC|83580.0000|129.0000|647.9100|CA|F
V0004|20260112|TR|RL MARA|CANCELACION CXC|70.0000|70.0000|1.0000|CA|F
E0028|20260112|TR|RONALD 1|CANCELACION CXC|158.6900|158.6900|1.0000|CA|F
E0028|20260112|TR|LUIS DOS|CANCELACION CXC|2000.0000|2000.0000|1.0000|CA|F
E0028|20260112|TR|VANESSA|CANCELACION CXC|1000.0000|1000.0000|1.0000|CA|F
E0028|20260112|TR|JOSE P 1|CANCELACION CXC|66.0000|66.0000|1.0000|CA|F
E0028|20260112|TR|MILVIA 2|CANCELACION CXC|400.0000|400.0000|1.0000|CA|F
E0028|20260112|TR|JHONATAN|CANCELACION CXC|100.0000|100.0000|1.0000|CA|F
00004|20260112|TR|153208|CANCELACION CXC|54992.0000|112.0000|491.0000|CA|F
00003|20260112|TR|141128|CANCELACION CXC|9867.7300|20.1300|490.2000|CA|F
