codmovcli|numdoc|tipo|codven|emision|vence|importe|refer|concepto
00000403|00003935|NC|19|20260506|20260505|-39696.7700|NCCLIESP|RETENCION 75% IVA F/00003935
00000403|D0021214|CA|19|20260506|20260506|-344.2500|G.C|CANCELACION DE FACTURAS
00000403|D0021168|CA|19|20260506|20260506|-130.1000|G.C|CANCELACION DE FACTURAS
00000403|D0021110|CA|19|20260506|20260506|-37.2000|G.C|CANCELACION DE FACTURAS
00000403|D0021142|CA|19|20260506|20260506|-45.7600|G.C|CANCELACION DE FACTURAS
00000403|D0020990|CA|19|20260506|20260506|-117.7500|G.C|CANCELACION DE FACTURAS
00000403|00003935|CA|19|20260506|20260506|-13231.0800|G.C|CANCELACION DE FACTURAS
00000140|D0020541|AB|08|20260506|20260506|-100.0000|AGUA FRIA|CANCELACION DE FACTURAS
00000797|D0020456|NC|33|20260506|20260506|-524.5100|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000797|D0020456|CA|33|20260506|20260506|-1098.0600|MUNDO DIES|CANCELACION DE FACTURAS
00000797|D0020458|CA|33|20260506|20260506|-60.9000|MUNDO DIES|CANCELACION DE FACTURAS
00000797|D0021165|AB|33|20260506|20260506|-256.1600|MUNDO DIES|CANCELACION DE FACTURAS
00000879|D0021226|NC|12|20260506|20260506|-54.0400|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000879|D0021227|NC|12|20260506|20260506|-11.9600|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000879|D0021226|CA|12|20260506|20260506|-46.1400|CARRATO|CANCELACION DE FACTURAS
00000879|D0021227|AB|12|20260506|20260506|-38.8600|CARRATO|CANCELACION DE FACTURAS
00000828|D0021266|NC|12|20260506|20260506|-148.0200|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000673|D0021297|FC|21|20260506|20260605|634.8800||FACTURA D0021297
00000828|D0021266|CA|12|20260506|20260506|-592.1000|DIREVICA|CANCELACION DE FACTURAS
00000673|D0021298|FC|21|20260506|20260605|78.0000||FACTURA D0021298
00000043|D0020488|NC|01|20260506|20260506|-315.3400|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000555|D0021299|FC|02|20260506|20260605|105.0000||FACTURA D0021299
00000043|D0020488|AB|01|20260506|20260506|-300.0000|KIAUTO|CANCELACION DE FACTURAS
00000879|D0021227|CA|12|20260506|20260506|-9.0000|CARRATO|CANCELACION DE FACTURAS
00000879|D0021228|AB|12|20260506|20260506|-21.0000|CARRATO|CANCELACION DE FACTURAS
00000378|D0021302|FC|06|20260506|20260605|43.7000||FACTURA D0021302
00000614|D0021303|FC|19|20260506|20260605|21.2600||FACTURA D0021303
00000727|D0021304|FC|12|20260506|20260605|295.8100||FACTURA D0021304
00000727|D0021305|FC|12|20260506|20260605|21.0000||FACTURA D0021305
00000378|00003923|NC|06|20260506|20260506|-28105.2700||DEVOLUCION No. NC000048
00000378|00003924|NC|06|20260506|20260506|-25635.5400||DEVOLUCION No. NC000049
00000378|00003925|NC|06|20260506|20260506|-5076.3600||DEVOLUCION No. NC000050
00000378|00003926|NC|06|20260506|20260506|-10652.6100||DEVOLUCION No. NC000051
00000500|00003927|NC|06|20260506|20260506|-24532.0200||DEVOLUCION No. NC000052
00000500|00003928|NC|06|20260506|20260506|-4077.7600||DEVOLUCION No. NC000053
00000500|00003929|NC|06|20260506|20260506|-10652.6100||DEVOLUCION No. NC000054
00000415|D0021306|FC|19|20260506|20260605|89.1900||FACTURA D0021306
00000219|D0021307|FC|06|20260506|20260605|21.8100||FACTURA D0021307
00000378|D0021308|FC|06|20260506|20260620|395.5500||FACTURA D0021308
00000378|D0021309|FC|06|20260506|20260605|400.8800||FACTURA D0021309
00000378|D0021310|FC|06|20260506|20260605|61.5600||FACTURA D0021310
00000378|D0021311|FC|06|20260506|20260605|136.0000||FACTURA D0021311
00000500|D0021312|FC|06|20260506|20260605|22.0400||FACTURA D0021312
00000500|D0021313|FC|06|20260506|20260605|376.1800||FACTURA D0021313
00000500|D0021314|FC|06|20260506|20260620|66.0800||FACTURA D0021314
00000500|D0021315|FC|06|20260506|20260620|136.0000||FACTURA D0021315
00000614|D0021303|CA|19|20260506|20260506|-21.2600|PENOV|CANCELACION DE FACTURAS
00000140|D0020541|AB|08|20260506|20260506|-100.0000|AGUA FRIA|CANCELACION DE FACTURAS
00000415|D0020658|CA|19|20260506|20260506|-152.1900|DEYKORE|CANCELACION DE FACTURAS
00000415|D0020716|CA|19|20260506|20260506|-20.0000|DEYKORE|CANCELACION DE FACTURAS
00000879|D0021228|CA|12|20260506|20260506|-14.0000|CARRATO|CANCELACION DE FACTURAS
00000355|D0021186|NC|01|20260506|20260506|-159.2300|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000355|D0021186|CA|01|20260506|20260506|-636.9400|DOCARS|CANCELACION DE FACTURAS
00000355|D0021185|CA|01|20260506|20260506|-367.0000|DOCARS|CANCELACION DE FACTURAS
00000117|D0021254|NC|01|20260506|20260506|-18.8800|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000117|D0021254|CA|01|20260506|20260506|-75.5000|AUTOZONE|CANCELACION DE FACTURAS
00000117|D0021252|CA|01|20260506|20260506|-45.0000|AUTOZONE|CANCELACION DE FACTURAS
00000841|D0020817|NC|12|20260506|20260506|-24.3700|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000841|D0020739|CA|12|20260506|20260506|-12.3300|PRO MOTOS|CANCELACION DE FACTURAS
00000841|D0020817|CA|12|20260506|20260506|-97.4700|PRO MOTOS|CANCELACION DE FACTURAS
00000841|D0020841|AB|12|20260506|20260506|-90.2000|PRO MOTOS|CANCELACION DE FACTURAS
00000796|D0020978|AB|12|20260506|20260506|-70.0000|REY RPTOS|CANCELACION DE FACTURAS
00000219|00003933|NC|06|20260506|20260505|-16390.1300|NCCLIESP|RETENCION 75% IVA F/00003933
00000219|00003934|NC|06|20260506|20260505|-26279.2000|NCCLIESP|RETENCION 75% IVA F/00003934
00000219|00003933|CA|06|20260506|20260506|-5463.3800|JUNIN|CANCELACION DE FACTURAS
00000219|D0021239|AB|06|20260506|20260506|-220.3000|JUNIN|CANCELACION DE FACTURAS
00000219|00003934|CA|06|20260506|20260506|-8758.0500|JUNIN|CANCELACION DE FACTURAS
00000219|D0021240|AB|06|20260506|20260506|-353.2200|JUNIN|CANCELACION DE FACTURAS
00000621|00003930|CA|06|20260506|20260506|-24986.6300|CASANOVA|CANCELACION DE FACTURAS
00000621|D0021230|AB|06|20260506|20260506|-251.8800|CASANOVA|CANCELACION DE FACTURAS
00000621|00003932|CA|06|20260506|20260506|-30694.7900|CASANOVA|CANCELACION DE FACTURAS
00000621|D0021235|AB|06|20260506|20260506|-309.4200|CASANOVA|CANCELACION DE FACTURAS
00000403|D0021316|FC|19|20260506|20260605|91.9000||FACTURA D0021316
00000500|D0021317|FC|06|20260506|20260605|185.2100||FACTURA D0021317
00000596|D0021318|FC|06|20260506|20260605|76.1200||FACTURA D0021318
00000727|D0021304|NC|12|20260506|20260506|-59.1600|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000727|D0021305|NC|12|20260506|20260506|-4.2000|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000607|D0021319|FC|19|20260506|20260605|106.9100||FACTURA D0021319
00000607|D0021320|FC|19|20260506|20260605|35.7500||FACTURA D0021320
00000727|D0021304|CA|12|20260506|20260506|-236.6500|MAESTRO|CANCELACION DE FACTURAS
00000727|D0021305|CA|12|20260506|20260506|-16.8000|MAESTRO|CANCELACION DE FACTURAS
00000421|D0020552|NC|21|20260506|20260506|-252.5600|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000421|D0020653|NC|21|20260506|20260506|-32.7500|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000421|D0020552|CA|21|20260506|20260506|-1010.2600|PANA MIO|CANCELACION DE FACTURAS
00000421|D0020653|CA|21|20260506|20260506|-131.0000|PANA MIO|CANCELACION DE FACTURAS
00000470|D0020379|AB|02|20260506|20260506|-100.0000|DFI|CANCELACION DE FACTURAS
00000088|D0021321|FC|01|20260506|20260620|661.4700||FACTURA D0021321
00000088|D0021322|FC|01|20260506|20260620|442.6000||FACTURA D0021322
00000088|D0021323|FC|01|20260506|20260620|48.0000||FACTURA D0021323
00000088|D0021324|FC|01|20260506|20260605|92.7200||FACTURA D0021324
00000607|00003936|FC|19|20260507|20260522|11340.4400||IVA CORRESPONDIENTE A LA FACTU
00000607|00003936|NC|19|20260507|20260507|-11340.4400||DEVOLUCION No. NC000055
00000607|00003937|FC|19|20260507|20260606|9072.3500||IVA CORRESPONDIENTE A LA FACTU
00000781|D0021325|FC|12|20260507|20260606|10.0000||FACTURA D0021325
00000732|D0021326|FC|01|20260507|20260606|401.4400||FACTURA D0021326
00000732|D0021327|FC|01|20260507|20260606|85.0000||FACTURA D0021327
00000048|D0021328|FC|01|20260507|20260606|227.9600||FACTURA D0021328
00000403|D0021330|FC|19|20260507|20260606|186.9000||FACTURA D0021330
00000403|D0021331|FC|19|20260507|20260606|96.3400||FACTURA D0021331
00000753|D0021332|FC|19|20260507|20260606|22.3000||FACTURA D0021332
00000691|D0021333|FC|02|20260507|20260606|144.0400||FACTURA D0021333
00000691|D0021334|FC|02|20260507|20260606|10.1500||FACTURA D0021334
00000555|D0021300|FC|02|20260506|20260605|745.6500||FACTURA D0021300
00000555|D0021335|FC|02|20260507|20260606|81.0000||FACTURA D0021335
