codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
57321-29100|CORREA DIRECCION HIDRAULICA HYUNDAI GETZ|ELGTZ|00255|6.3300|5.5000|1.4300|KOREA|||
22311-23700|EMPACADURA CAMARA TUCSON KOREA (23110)|TUCSO|00163|7.1500|6.0000|1.4500|KOREA|||
GT10170|POLEA TIEMPO GETZ 1.6 GMB|ELGTZ|00001|26.2500|16.0000|4.2800|KOREA|||
1881411051|JGO. BUJIA PUNTA PLATINO KIA HYUNDAI TODOS CHAMPIO|TUCSO|00188|22.6200|19.6700|5.0800|KOREA|||
23060-02591|JGO. CONCHA BIELA KIA PICANTO 0.10 (0.25) 02912|PICAN|00065|10.2800|8.9400|2.7300|KOREA|||
22311-26101|EMPACADURA CAMARA HYUNDAI GETZ 1.6|ELGTZ|00002|5.7500|5.0000|1.5000|KOREA|||
27501-22B00-K|JGO. CABLE BUJIA PICANTO|PICAN|00143|10.8200|9.4100|3.8500|KOREA|||
51720-02000|RODAMIENTO DELANTERO PICANTO / GETZ **GH038021**|PICAN|00163|23.9000|19.0000|4.8800|KOREA|||
51760-2E000-K|MUNON HYUNDAI TUCSON|TUCSO|00163|14.8000|12.0000|2.9900|KOREA|||
22311-2X200|EMPACADURA CAMARA RIO 1.5|RIO|00182|7.7200|5.5000|1.4400|KOREA|||
23060-02592|JGO. CONCHA BIELA KIA PICANTO 0.20 (0.50)|PICAN|00005|9.8200|8.5400|2.6100|KOREA|||
0K201-11312|ESTOPERA TRASERA CIGUENAL KIA RIO (AZUL)|RIO|00199|8.6300|7.5000|1.8900|KOREA|||
55530-17010|BIELETA TRAS. RH/LH HYUNDAI ELANTRA XD 29000|ELGTZ|00209|11.3900|9.9000|1.9500|KOREA|||
22441-2X001-CH|EMPACADURA TAPA VALVULA RIO STYLUS GENERICA|RIO|00077|0.0000|0.0000|1.0300|KOREA|||
22311-02760|EMPACADURA CAMARA PICANTO|PICAN|00020|6.0700|5.2800|1.6000|KOREA|||
22441-26100-OEM|EMPACADURA TAPA VALVULA GETZ 1.6 FINA ORIG|GETZ|00108|0.0000|0.0000|1.1000|CHINA|||
27501-23B70|JGO. CABLE BUJIA HYUNDAI TUCSON|TUCSO|00163|17.4900|15.2000|3.8100|KOREA|||
21020-02592|JGO. CONCHA BANCADA PICANTO 0.20 (0.50)|PICAN|00005|17.6200|15.3200|4.1700|KOREA|||
KKY01-32280|TERMINAL KIA RIO / PICANTO|RIO|00182|11.5000|10.0000|2.7400|KOREA|||
0K75A-10-271-K|EMPACADURA CAMARA KIA PREGIO 3.0 (22311-4Z000)|PREGI|00163|13.5700|11.8000|2.4700|KOREA|||
24312-26001|CORREA TIEMPO GETZ 1.6 GATES|ELGTZ|00031|21.8000|18.9000|5.1100|KOREA|||
