codmovcli|numdoc|tipo|codven|emision|vence|importe|refer|concepto
00000875|100000|COB|36|2023-02-28 00:00:00|2023-02-28 00:00:00|136.43|100000|Cobranza de Factura
00000489|100001|COB|02|2023-12-15 00:00:00|2023-12-15 00:00:00|1033.90|100001|Cobranza de Factura
00000452|100002|COB|00|2023-05-20 00:00:00|2023-05-20 00:00:00|96.45|100002|Cobranza de Factura
00000360|100003|COB|01|2023-08-01 00:00:00|2023-08-01 00:00:00|564.05|100003|Cobranza de Factura
00000709|100004|COB|01|2023-02-13 00:00:00|2023-02-13 00:00:00|175.47|100004|Cobranza de Factura
00000421|100005|COB|21|2023-10-22 00:00:00|2023-10-22 00:00:00|635.70|100005|Cobranza de Factura
00000805|100006|COB|12|2023-04-29 00:00:00|2023-04-29 00:00:00|411.28|100006|Cobranza de Factura
00000470|100007|COB|12|2023-08-24 00:00:00|2023-08-24 00:00:00|944.06|100007|Cobranza de Factura
00000170|100009|COB|01|2023-09-18 00:00:00|2023-09-18 00:00:00|339.55|100009|Cobranza de Factura
00000587|100010|COB|21|2023-01-17 00:00:00|2023-01-17 00:00:00|771.89|100010|Cobranza de Factura
00000165|100011|COB|00|2023-05-13 00:00:00|2023-05-13 00:00:00|846.54|100011|Cobranza de Factura
00000045|100012|COB|00|2023-07-20 00:00:00|2023-07-20 00:00:00|937.32|100012|Cobranza de Factura
00000437|100013|COB|04|2023-12-23 00:00:00|2023-12-23 00:00:00|550.06|100013|Cobranza de Factura
00000090|100014|COB|02|2023-11-15 00:00:00|2023-11-15 00:00:00|203.72|100014|Cobranza de Factura
00000197|100015|COB|12|2023-12-19 00:00:00|2023-12-19 00:00:00|630.23|100015|Cobranza de Factura
00000876|100017|COB|33|2023-01-29 00:00:00|2023-01-29 00:00:00|0.00|100017|Cobranza de Factura
00000783|100018|COB|01|2023-02-06 00:00:00|2023-02-06 00:00:00|239.96|100018|Cobranza de Factura
00000783|100019|COB|01|2023-10-22 00:00:00|2023-10-22 00:00:00|810.58|100019|Cobranza de Factura
00000624|100020|COB|04|2023-03-17 00:00:00|2023-03-17 00:00:00|810.17|100020|Cobranza de Factura
00000545|100021|COB|25|2023-05-30 00:00:00|2023-05-30 00:00:00|206.20|100021|Cobranza de Factura
00000230|100022|COB|36|2023-03-02 00:00:00|2023-03-02 00:00:00|0.00|100022|Cobranza de Factura
00000644|100024|COB|19|2023-03-06 00:00:00|2023-03-06 00:00:00|1509.48|100024|Cobranza de Factura
00000374|100025|COB|0|2023-03-12 00:00:00|2023-03-12 00:00:00|566.49|100025|Cobranza de Factura
00000144|100026|COB|00|2023-06-06 00:00:00|2023-06-06 00:00:00|54.06|100026|Cobranza de Factura
00000131|100027|COB|00|2023-01-16 00:00:00|2023-01-16 00:00:00|2299.24|100027|Cobranza de Factura
00000458|100028|COB|04|2023-06-30 00:00:00|2023-06-30 00:00:00|177.28|100028|Cobranza de Factura
00000235|100029|COB|04|2023-09-18 00:00:00|2023-09-18 00:00:00|503.10|100029|Cobranza de Factura
00000724|100030|COB|30|2023-02-01 00:00:00|2023-02-01 00:00:00|596.83|100030|Cobranza de Factura
00000261|100031|COB|06|2023-12-27 00:00:00|2023-12-27 00:00:00|274.02|100031|Cobranza de Factura
00000413|100032|COB|02|2023-12-27 00:00:00|2023-12-27 00:00:00|73.26|100032|Cobranza de Factura
00000054|100033|COB|04|2023-04-04 00:00:00|2023-04-04 00:00:00|12.54|100033|Cobranza de Factura
00000336|100035|COB|02|2023-08-13 00:00:00|2023-08-13 00:00:00|147.68|100035|Cobranza de Factura
00000894|100036|COB|12|2023-05-12 00:00:00|2023-05-12 00:00:00|546.24|100036|Cobranza de Factura
00000168|100037|COB|01|2023-04-13 00:00:00|2023-04-13 00:00:00|1116.18|100037|Cobranza de Factura
00000544|100038|COB|19|2023-02-17 00:00:00|2023-02-17 00:00:00|937.19|100038|Cobranza de Factura
00000494|100039|COB|00|2023-01-22 00:00:00|2023-01-22 00:00:00|341.40|100039|Cobranza de Factura
