numfac|cliente|nomcli|tipo|codven|emision|tot_fac|vence|numped
100000|00000875|IVAN JOSE CARRENO|FAC|36|2023-02-27 00:00:00|136.43|2023-03-29 00:00:00|
100001|00000489|M &amp; C VALENCIA II, C.A. (M &amp; C VALENCIA II, C.A.)|FAC|02|2023-12-04 00:00:00|1033.90|2024-01-03 00:00:00|
100002|00000452|UNICO MOTOR, C.A. (UNICO MOTOR, C.A.)|FAC|00|2023-05-19 00:00:00|96.45|2023-06-18 00:00:00|
100003|00000360|INVERSIONES AUTOKAT 2016, C.A|FAC|01|2023-07-30 00:00:00|564.05|2023-08-29 00:00:00|
100004|00000709|ANGEL NEPTALI VASQUEZ CAMACARO|FAC|01|2023-01-29 00:00:00|175.47|2023-02-28 00:00:00|
100005|00000421|REPUESTOS PANA MIO, C.A. (REPUESTOS PANA MIO, C.A.)|FAC|21|2023-10-12 00:00:00|635.70|2023-11-11 00:00:00|
100006|00000805|CASTILLO REPUESTO FERRARI, F.P|FAC|12|2023-04-19 00:00:00|411.28|2023-05-19 00:00:00|
100007|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|FAC|12|2023-08-21 00:00:00|944.06|2023-09-20 00:00:00|
100008|00000658|JOSE ALI TORO GOMEZ|FAC|19|2023-03-11 00:00:00|96.21|2023-04-10 00:00:00|
100009|00000170|TRANSPORTE A1,C.A.|FAC|01|2023-09-12 00:00:00|339.55|2023-10-12 00:00:00|
100010|00000587|COMERCIAL LOS LOZADA, C.A. (COMERCIAL LOS LOZADA)|FAC|21|2023-01-16 00:00:00|771.89|2023-02-15 00:00:00|
100011|00000165|AUTO PARTES CHUMA, C.A.|FAC|00|2023-04-30 00:00:00|846.54|2023-05-30 00:00:00|
100012|00000045|SUMY MOTOR'S, C.A.|FAC|00|2023-07-09 00:00:00|937.32|2023-08-08 00:00:00|
100013|00000437|CORPORACION GT MOTORS, C.A (CORPORACION GT MOTORS, C.A)|FAC|04|2023-12-21 00:00:00|550.06|2024-01-20 00:00:00|
100014|00000090|REPUESTOS FRED CARS, C.A.|FAC|02|2023-11-02 00:00:00|203.72|2023-12-02 00:00:00|
100015|00000197|TRANSPORTE EL FARO, C.A|FAC|12|2023-12-18 00:00:00|630.23|2024-01-17 00:00:00|
100016|00000043|KIAUTO, C.A|FAC|01|2023-01-21 00:00:00|194.14|2023-02-20 00:00:00|
100017|00000876|INYECTORES 911, C.A. (INYECTORES 911, C.A.)|FAC|33|2023-01-14 00:00:00|0.00|2023-02-13 00:00:00|
100018|00000783|EL PUNTO DEL LUBRICANTE, C.A|FAC|01|2023-02-02 00:00:00|239.96|2023-03-04 00:00:00|
100019|00000783|EL PUNTO DEL LUBRICANTE, C.A|FAC|01|2023-10-12 00:00:00|810.58|2023-11-11 00:00:00|
100020|00000624|JAPON MOTORS REPUESTOS AUTOMOTRICES, C.A|FAC|04|2023-03-09 00:00:00|810.17|2023-04-08 00:00:00|
100021|00000545|REPUESTOS ANDRES, C.A. (REPUESTOS ANDRES, C.A.)|FAC|25|2023-05-27 00:00:00|206.20|2023-06-26 00:00:00|
100022|00000230|REPUESTOS PLANETA JX, C.A|FAC|36|2023-02-21 00:00:00|0.00|2023-03-23 00:00:00|
100023|00000717|FRANKLIN JOSE HERNANDEZ GARCIA(REPUESTOS MSM2000)|FAC|01|2023-09-07 00:00:00|285.92|2023-10-07 00:00:00|
100024|00000644|AUTOPARTES SJV,C.A|FAC|19|2023-02-21 00:00:00|1509.48|2023-03-23 00:00:00|
100025|00000374|KOREA INTERNACIONAL KORINCA, C.A|FAC|0|2023-02-25 00:00:00|566.49|2023-03-27 00:00:00|
100026|00000144|CLIENTE MERCADOLIBRE|FAC|00|2023-05-27 00:00:00|54.06|2023-06-26 00:00:00|
100027|00000131|INVERSIONES SIMONEY MEJIAS, C.A.|FAC|00|2023-01-15 00:00:00|2299.24|2023-02-14 00:00:00|
100028|00000458|INVERSIONES TODO SUPPLY, C.A. (INVERSIONES TODO SUPPLY, C.A.)|FAC|04|2023-06-16 00:00:00|177.28|2023-07-16 00:00:00|
100029|00000235|SURAUTO C.A|FAC|04|2023-09-03 00:00:00|503.10|2023-10-03 00:00:00|
100030|00000724|ROSA LUCIA MAUHAD DE GOMEZ|FAC|30|2023-01-27 00:00:00|596.83|2023-02-26 00:00:00|
100031|00000261|REPUESTOS MIMO-TOR SG, C.A|FAC|06|2023-12-21 00:00:00|274.02|2024-01-20 00:00:00|
100032|00000413|AUTOPART'S UNION,C.A|FAC|02|2023-12-19 00:00:00|73.26|2024-01-18 00:00:00|
100033|00000054|DAEWOOLAGO C.A|FAC|04|2023-03-27 00:00:00|12.54|2023-04-26 00:00:00|
100034|00000045|SUMY MOTOR'S, C.A.|FAC|00|2023-03-27 00:00:00|1242.19|2023-04-26 00:00:00|
100035|00000336|JOAQUIN EDUARDO FERREIRA AMAYA  (REPUESTOS Y ACCESORIOS AUDIOTOP)|FAC|02|2023-08-12 00:00:00|147.68|2023-09-11 00:00:00|
100036|00000894|AUTOMOTRIZ EL NEGRO HC, C.A. (AUTOMOTRIZ EL NEGRO HC, C.A.)|FAC|12|2023-04-28 00:00:00|546.24|2023-05-28 00:00:00|
100037|00000168|EXCELSO DISTRIBUCIONES C.A|FAC|01|2023-04-02 00:00:00|1116.18|2023-05-02 00:00:00|
100038|00000544|REPUESTOS 3MLM, C.A. (REPUESTOS 3MLM, C.A)|FAC|19|2023-02-05 00:00:00|937.19|2023-03-07 00:00:00|
