numfac|item|codart|descrip|cantidad|precio|desc|tot_ren|emision|grupo
100000|1|43134-39011|ESTOPERA GUIA COLLARIN GETZ/TUCSON/ELANTRA/ACCENT|4|1.91|0|7.64|2023-02-27 00:00:00|TUCSO
100000|2|21020-26040-100|JGO. CONCHA BANCADA ACCENT/ GETZ 0.40|9|14.31|0|128.79|2023-02-27 00:00:00|GETZ
100001|1|27300-39800-SEO|BOBINA ENCENDIDO KIA SORENTO 3.5 SEONG|10|29.90|0|299.00|2023-12-04 00:00:00|OTROS
100001|2|25441-26100-SEO|TAPA ENVASE AGUA GETZ/PICANTO/ STA FE SEONG|10|4.49|0|44.90|2023-12-04 00:00:00|ELGTZ
100001|3|0K3Y0-11SA0-100|JGO. PISTON KIA RIO 1.5 0.40 (100) TIK 2K755100|8|86.25|0|690.00|2023-12-04 00:00:00|RIO
100002|1|58315-FDA01-SEO|JGO. BANDAS FRENO KIA RIO STYLUS SEONG|5|19.29|0|96.45|2023-05-19 00:00:00|RIO
100003|1|52710-2D115|MOZO TRASERO ELANTRA CON ABS|7|55.45|0|388.15|2023-07-30 00:00:00|ELGTZ
100003|2|0K30E-10-2017|JGO. EMPACADURA KIA RIO STYLUS|5|35.18|0|175.90|2023-07-30 00:00:00|RIO
100004|1|23060-37140|JGO. CONCHA BIELA SPORTAGE 2.7 STD (37200)|3|14.77|0|44.31|2023-01-29 00:00:00|SPTFE
100004|2|24356-3E000-SE|VALVULA OCV RH HYUNDAI SANTA FE 2.7 SEONG|3|43.72|0|131.16|2023-01-29 00:00:00|SPTFE
100005|1|21310-39510-SE|BOMBA ACEITE KIA SORENTO 3.5 / SEDONA 3.5 (39511) SEONG|5|127.14|0|635.70|2023-10-12 00:00:00|OTROS
100006|1|DAC39740034/36|RODAMIENTO DELANTERO ELANTRA XD|10|17.28|0|172.80|2023-04-19 00:00:00|ELGTZ
100006|2|24810-31720-OEM|POLEA TIEMPO FIJA SPORTAGE 2.7 OEM|10|18.29|0|182.90|2023-04-19 00:00:00|SPTFE
100006|3|54830-07000-KP|BIELETA DEL. LH KIA PICANTO KP|7|7.94|0|55.58|2023-04-19 00:00:00|PICAN
100007|1|94460-2F000|FLOTANTE GASOLINA KIA CERATO 1.6|4|24.99|0|99.96|2023-08-21 00:00:00|OTROS
100007|2|86350-1F500|PARRILLA KIA SPORTAGE SEONG|3|43.70|0|131.10|2023-08-21 00:00:00|SPTFE
100007|3|23410-26511-STD|JGO. PISTON HYUNDAI GETZ 1.6 STD FINO|10|71.30|0|713.00|2023-08-21 00:00:00|ELGTZ
100008|1|0K65A-13430A|TUBERIA RETORNO INYECTORES KIA PREGIO 3.0|2|34.39|0|68.78|2023-03-11 00:00:00|PREGI
100008|2|41600-4H100-SEO|BOMBA CLUTCH SUP. HYUNDAI H1 2009 SEONG|1|27.43|0|27.43|2023-03-11 00:00:00|H1
100009|1|23040-26101-100|JGO. ANILLO GETZ 1.6/ELAN 1.6 0.40 (1.00) TIK R2H7 2.5|10|27.34|0|273.40|2023-09-12 00:00:00|ELGTZ
100009|2|25650-02560-K|TOMA DE AGUA CORTA KIA PICANTO CS KOREANA|5|13.23|0|66.15|2023-09-12 00:00:00|PICAN
100010|1|39210-3C100-SEO|SENSOR DE OXIGENO DEL. LH HYUNDAI SONATA 3.3 SEONG|6|36.71|0|220.26|2023-01-16 00:00:00|OTROS
100010|2|25380-FD000|ELECTROVENTILADOR PRINICIPAL KIA RIO 1.5|4|67.47|0|269.88|2023-01-16 00:00:00|RIO
100010|3|25100-38450-SEO|BOMBA AGUA HYUNDAI H1 07 SEONG|7|40.25|0|281.75|2023-01-16 00:00:00|H1
100011|1|23410-02770|JGO. PISTON KIA PICANTO 0.20 (0,50)|9|94.06|0|846.54|2023-04-30 00:00:00|PICAN
100012|1|45829-34150|RODAMIENTO DIFERENCIAL HYUNDAI GETZ|9|18.17|0|163.53|2023-07-09 00:00:00|ELGTZ
100012|2|93490-2D000-TKC|CABLE ESPIRAL HYUNDAI ELANTRA 1.6 2.0|4|22.95|0|91.80|2023-07-09 00:00:00|ELGTZ
100012|3|23040-02970-STD|JGO. ANILLO KIA PICANTO STD|6|26.53|0|159.18|2023-07-09 00:00:00|PICAN
