codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
57321-29100|CORREA DIRECCION HIDRAULICA GETZ|ELGTZ|00088|0.0000|4.2500|1.3600|KOREA|||
22311-23700|EMPACADURA CAMARA TUCSON AMIANTO|TUCSO|00020|0.0000|6.4800|1.9900|KOREA|||
GT10170|POLEA TIEMPO GETZ 1.6 GMB|GETZ|00001|0.0000|19.1800|5.8000|KOREA|||
1881411051|JGO. BUJIA PUNTA PLATINO KIA HYUNDAI TODOS CHAMPIO|TUCSO|00188|0.0000|16.5300|5.0800|KOREA|||
23060-02591|JGO. CONCHA BIELA PICANTO 0.10 02912|PICAN|00065|0.0000|7.5100|2.7800|KOREA|||
22311-26101|EMPACADURA CAMARA GETZ 1.6|ELGTZ|00002|0.0000|4.5700|1.6700|KOREA|||
27501-22B00-K|JGO. CABLE BUJIA PICANTO|PICAN|00143|0.0000|7.9000|3.8500|KOREA|||
51720-02000|RODAMIENTO DELANTERO PICANTO / GETZ|PICAN|00060|0.0000|17.4700|5.5000|KOREA|||
51760-2E000-K|MUNON HYUNDAI TUCSON|TUCSO|00002|0.0000|10.8200|4.1800|KOREA|||
22311-2X200|EMPACADURA CAMARA RIO 1.5|RIO|00020|0.0000|5.6400|1.8000|KOREA|||
23060-02592|JGO. CONCHA BIELA PICANTO 0.20 (0,50)|PICAN|00005|0.0000|7.1700|2.6100|KOREA|||
0K201-11312|ESTOPERA TRASERA CIGUENAL KIA RIO KOS|RIO|00064|0.0000|3.6100|0.9600|KOREA|||
55530-17010|BIELETA TRASERA ELANTRA XD|ELGTZ|00002|0.0000|10.2400|3.2400|KOREA|||
22441-2X001-CH|EMPACADURA TAPA VALVULA RIO STYLUS GENERICA|RIO|00077|0.0000|0.0000|1.0300|KOREA|||
51720-3A101|RODAMIENTO DELANTERO TUCSON|TUCSO|00131|0.0000|24.2600|7.6400|KOREA|||
22311-02760|EMPACADURA CAMARA PICANTO|PICAN|00020|0.0000|5.6400|1.7500|KOREA|||
22441-26100-OEM|EMPACADURA TAPA VALVULA GETZ 1.6 FINA ORIG|GETZ|00108|0.0000|0.0000|1.1000|CHINA|||
27501-23B70|JGO. CABLE BUJIA TUCSON|TUCSO|00002|0.0000|13.5000|4.6400|KOREA|||
21020-02592|JGO. CONCHA BANCADA PICANTO 0.20 (0.50)|PICAN|00005|0.0000|12.8800|4.1700|KOREA|||
21421-23000|ESTOPERA DELANTERA TUCSON|TUCSO|00081|0.0000|0.0000|0.4600|KOREA|||
KKY01-32280|TERMINAL KIA RIO|RIO|00002|0.0000|10.4000|2.9900|KOREA|||
0K75A-10-271-K|EMPACADURA CAMARA PREGIO KOREA|PREGI|00007|0.0000|9.9000|3.0000|KOREA|||
24312-26001|CORREA TIEMPO GETZ 1.6 GATES|ELGTZ|00031|0.0000|15.9400|5.9400|KOREA|||
22311-22350|EMPACADURA CAMARA ACCENT 1.3|ACCEN|00002|0.0000|4.1600|2.1800|KOREA|||
93742708|JGO. CONCHA BIELA  OPTRA DSG AVEO 0.25|OTROS|00005|0.0000|0.0000|2.2000|KOREA|||
54503-38A01-PMC|MUNON ACC/ELANTRA/GETZ PMC|ELGTZ|00002|0.0000|8.2300|3.0900|KOREA|||
96378802|EMPACADURA CAMARA AVEO / DSG 1 HUECO|OTROS|00007|0.0000|0.0000|1.2000|KOREA|||
2750126D00|JGO. CABLE BUJIA GETZ 1.6|ELGTZ|00030|0.0000|15.4400|5.0500|KOREA|||
55530-2E200|BIELETA TUCSON TRASERA|TUCSO|00002|0.0000|10.2400|2.7300|KOREA|||
0K30E-10271|EMPACADURA CAMARA KIA RIO 1.5 KOREA|RIO|00108|0.0000|4.4400|1.5500|CHINA|||
54556-22000|BUJE MESETA GRANDE ACCENT RH|ACCEN|00007|0.0000|0.0000|1.8100|KOREA|||
25215-4Z020|CORREA ALTERNADOR PREGIO|PREGI|00124|0.0000|6.7000|1.8400|KOREA|||
0S089-41400|BOMBA CLUTCH SUP. PREGIO 3.0 TCIC 13C0130|PREGI|00069|0.0000|42.1300|12.9400|KOREA|||
54555-22000|BUJE MESETA GRANDE ACCENT LH|ACCEN|00007|0.0000|0.0000|1.8100|KOREA|||
0K65A-10104A|JGO. GUIA VALVULA PREGIO|PREGI|00070|0.0000|27.6200|8.8000|KOREA|||
GT10160|POLEA TIEMPO TUCSON GMB|TUCSO|00001|0.0000|19.3800|6.1700|KOREA|||
4142139275|COLLARIN TUCSON VALEO|TUCSO|00066|0.0000|23.7700|5.4000|KOREA|||
0K30E-10155|JGO. GOMA VALVULA KIA RIO|RIO|00064|0.0000|8.5100|2.1200|KOREA|||
0K60E-41920|BOMBIN CLUCHT INF. PREGIO 3.0 13O013|PREGI|00069|0.0000|24.7600|6.6300|KOREA|||
56820-22000|TERMINAL ACCENT YULIM|ACCEN|00009|0.0000|0.0000|3.0700|KOREA|||
24410-2X701|TENSOR KIA RIO 1.5 GMB (GT20050)|RIO|00001|0.0000|14.9000|5.3200|KOREA|||
27501-23B70-K|JGO. CABLE BUJIA TUCSON REEMPLAZO|TUCSO|00143|0.0000|12.0300|5.8700|KOREA|||
0K2A116510A|COLLARIN KIA RIO 1.5|RIO|00002|0.0000|12.4800|4.6900|KOREA|||
20910-22AE0|JGO. EMPACADURA ACCENT 1.5|ACCEN|00077|0.0000|0.0000|13.5700|KOREA|||
56820-37010|TERMINAL ACCENT IRP|ACCEN|00008|0.0000|0.0000|1.8500|KOREA|||
CCX-9857|ROTULA  AVEO|OTROS|00008|0.0000|0.0000|2.3100|KOREA|||
0K756-15171C|TERMOSTATO PREGIO 3.0|PREGI|00007|0.0000|8.7600|2.9300|KOREA|||
22224-23500SET|JGO. GOMA VALVULA ACCENT KOS|ACCEN|00064|0.0000|0.0000|2.4000|KOREA|||
22311-22300-OEM|EMPACADURA CAMARA ACCENT 1.3|ACCEN|00055|0.0000|2.9700|1.3800|KOREA|||
23111-02812|CIGUENAL PICANTO 8 PESAS CUADRANTE|PICAN|00005|0.0000|118.7300|46.1100|KOREA|||
51720-2D100|RODAMIENTO DELANTERO ELANTRA XD|ELGTZ|00137|0.0000|16.7200|5.8700|KOREA|||
KDX5032240B|ROTULA KIA RIO|RIO|00002|0.0000|10.0400|3.6700|KOREA|||
