codmovart|fecha_mov|tipinv|cantidad|almacen|numdoc
43134-39011|2023-02-27 00:00:00|SAL|4|01|100000
21020-26040-100|2023-02-27 00:00:00|SAL|9|01|100000
27300-39800-SEO|2023-12-04 00:00:00|SAL|10|01|100001
25441-26100-SEO|2023-12-04 00:00:00|SAL|10|01|100001
0K3Y0-11SA0-100|2023-12-04 00:00:00|SAL|8|01|100001
58315-FDA01-SEO|2023-05-19 00:00:00|SAL|5|01|100002
52710-2D115|2023-07-30 00:00:00|SAL|7|01|100003
0K30E-10-2017|2023-07-30 00:00:00|SAL|5|01|100003
23060-37140|2023-01-29 00:00:00|SAL|3|01|100004
24356-3E000-SE|2023-01-29 00:00:00|SAL|3|01|100004
21310-39510-SE|2023-10-12 00:00:00|SAL|5|01|100005
DAC39740034/36|2023-04-19 00:00:00|SAL|10|01|100006
24810-31720-OEM|2023-04-19 00:00:00|SAL|10|01|100006
54830-07000-KP|2023-04-19 00:00:00|SAL|7|01|100006
94460-2F000|2023-08-21 00:00:00|SAL|4|01|100007
86350-1F500|2023-08-21 00:00:00|SAL|3|01|100007
23410-26511-STD|2023-08-21 00:00:00|SAL|10|01|100007
0K65A-13430A|2023-03-11 00:00:00|SAL|2|01|100008
41600-4H100-SEO|2023-03-11 00:00:00|SAL|1|01|100008
23040-26101-100|2023-09-12 00:00:00|SAL|10|01|100009
25650-02560-K|2023-09-12 00:00:00|SAL|5|01|100009
39210-3C100-SEO|2023-01-16 00:00:00|SAL|6|01|100010
25380-FD000|2023-01-16 00:00:00|SAL|4|01|100010
25100-38450-SEO|2023-01-16 00:00:00|SAL|7|01|100010
23410-02770|2023-04-30 00:00:00|SAL|9|01|100011
45829-34150|2023-07-09 00:00:00|SAL|9|01|100012
93490-2D000-TKC|2023-07-09 00:00:00|SAL|4|01|100012
23040-02970-STD|2023-07-09 00:00:00|SAL|6|01|100012
39210-39820|2023-07-09 00:00:00|SAL|6|01|100012
25620-23501-SEO|2023-07-09 00:00:00|SAL|9|01|100012
92201-FD000-SEO|2023-12-21 00:00:00|SAL|2|01|100013
