numreq|numtra|emision|provee|nomprv|estatus|almacen|tot_req|moneda|cambio|gastos|factor|fecha_rece
00000001||20170323|00000001||PE||713.8900|US$|65.0000|0.0000|0.0000|
00000002||20170323|00000002||PE||1062.0600|US$|10800.0000|0.0000|0.0000|
00000004||20170330|00000016||PE||44.7500|US$|10800.0000|0.0000|0.0000|
00000006||20170504|00000025||PE||1.2000|US$|10800.0000|0.0000|0.0000|
00000007||20170519|00000011||PE||3.4700|US$|10800.0000|0.0000|0.0000|
00000008||20170522|00000002||PE||1209.8000|US$|10800.0000|0.0000|0.0000|
00000009||20170707|00000002||PE||1218.5900|US$|10800.0000|0.0000|0.0000|
00000015||20171027|00000002||PE||622.9500|US$|10800.0000|0.0000|0.0000|
00000016||20171124|00000052||PE||30.0000|US$|10800.0000|0.0000|0.0000|
00000017||20180310|00000002||PE||70109820.0000|US$|10800.0000|0.0000|0.0000|
00000018||20180410|00000002||PE||28770552.0000|US$|10800.0000|0.0000|0.0000|
00000019||20180430|00000002||PE||61318404.0000|US$|10800.0000|0.0000|0.0000|
00000020||20180430|00000063||PE||92575440.0000|US$|10800.0000|0.0000|0.0000|
00000021||20180524|00000046||PE||3437.2800|US$|10800.0000|0.0000|0.0000|
00000022||20180530|00000002||PE||59401620.0000|US$|10800.0000|0.0000|0.0000|
00000023||20180615|00000002||PE||65344536.0000|US$|10800.0000|0.0000|0.0000|
00000024||20180618|00000063||PE||44625600.0000|US$|10800.0000|0.0000|0.0000|
00000025||20180820|00000002||PE||22400712.0000|US$|10800.0000|0.0000|0.0000|
00000026||20180920|00000002||PE||165884112.0000|US$|10800.0000|0.0000|0.0000|
00000027||20180927|00000063||PE||81178200.0000|US$|10800.0000|0.0000|0.0000|
00000028||20181115|00000011||PE||16000740.0000|US$|10800.0000|0.0000|0.0000|
00000029||20181210|00000002||PE||26482140.0000|US$|10800.0000|0.0000|0.0000|
00000030||20181212|00000063||PE||301950504.0000|US$|10800.0000|0.0000|0.0000|
00000031||20190205|00000002||PE||142342488.0000|US$|10800.0000|0.0000|0.0000|
00000032||20190321|00000063||PE||348701220.0000|US$|10800.0000|0.0000|0.0000|
00000033||20190426|00000048||PE||4646160.0000|US$|10800.0000|0.0000|0.0000|
00000034||20190502|00000048||PE||18583560.0000|US$|10800.0000|0.0000|0.0000|
00000036||20190716|00000082||PE||2268000.0000|US$|10800.0000|0.0000|0.0000|
00000037||20190716|00000083||PE||11250900.0000|US$|10800.0000|0.0000|0.0000|
00000038||20190718|00000002||PE||207360540.0000|US$|10800.0000|0.0000|0.0000|
00000039||20190719|00000001||PE||48727656.0000|US$|10800.0000|0.0000|0.0000|
00000040||20190730|00000002||PE||389958360.0000|US$|12200.0000|0.0000|0.0000|
00000042||20190830|00000001||PE||2257000.0000|US$|12200.0000|0.0000|0.0000|
00000043||20190830|00000010||PE||17568000.0000|US$|12200.0000|0.0000|0.0000|
00000044||20190907|00000063||PE||421702028.0000|US$|12200.0000|0.0000|0.0000|
00000049||20191108|00000090||PE||3651.4000|US$|22000.0000|0.0000|0.0000|
00000051||20191108|00000018||PE||431.1100|US$|22000.0000|0.0000|0.0000|
00000052||20191108|00000091||PE||186.1800|US$|22000.0000|0.0000|0.0000|
00000053||20191108|00000048||PE||326.7000|US$|22000.0000|0.0000|0.0000|
00000054||20191108|00000048||PE||1246.4500|US$|22000.0000|0.0000|0.0000|
00000055||20191108|00000018||PE||174.4000|US$|22000.0000|0.0000|0.0000|
00000056||20191112|00000018||PE||1621.9200|US$|22000.0000|0.0000|0.0000|
00000057||20191112|00000018||PE||92.4000|US$|22000.0000|0.0000|0.0000|
00000058||20191115|00000010||PE||869.0000|US$|22000.0000|0.0000|0.0000|
00000059||20191120|00000091||PE||458.7000|US$|22000.0000|0.0000|0.0000|
00000060||20191120|00000050||PE||455.9000|US$|22000.0000|0.0000|0.0000|
00000061||20191120|00000018||PE||85.0000|US$|22000.0000|0.0000|0.0000|
00000062||20191120|00000091||PE||1273.3700|US$|22000.0000|0.0000|0.0000|
00000063||20191121|00000050||PE||813.0000|US$|22000.0000|0.0000|0.0000|
00000064||20191121|00000001||PE||80.0000|US$|22000.0000|0.0000|0.0000|
00000065||20191121|00000090||PE||2048.0000|US$|22000.0000|0.0000|0.0000|
00000066||20191127|00000018||PE||444.8400|US$|22000.0000|0.0000|0.0000|
00000067||20191129|00000063||PE||42603.7700|US$|22000.0000|0.0000|0.0000|
00000068||20191213|00000002||PE||32783.3600|US$|22000.0000|0.0000|0.0000|
00000069||20200123|00000090||PE||1778.0000|US$|22000.0000|0.0000|0.0000|
00000070||20200203|00000050||PE||382.2600|US$|22000.0000|0.0000|0.0000|
00000071||20200203|00000048||PE||2999.6000|US$|22000.0000|0.0000|0.0000|
00000072||20200203|00000090||PE||2120.0000|US$|22000.0000|0.0000|0.0000|
00000073||20200204|00000050||PE||303.3500|US$|22000.0000|0.0000|0.0000|
00000074||20200221|00000090||PE||15324.0000|US$|22000.0000|0.0000|0.0000|
00000075||20200311|00000096||PE||56224.1200|US$|22000.0000|0.0000|0.0000|
00000077||20200316|00000098||PE||7971.0000|US$|22000.0000|0.0000|0.0000|
00000082||20200508|00000002||PE||47142.2600|US$|185000.0000|18.0000|2.0000|
00000083||20200508|00000096||PE||43926.7600|US$|185000.0000|18.0000|2.0000|
00000084||20200509|00000002||PE||1680.5000|US$|185000.0000|18.0000|2.0000|
00000085||20200615|00000049||PE||320.0000|US$|210000.0000|0.0000|1.4300|
001598||20200615|00000090||PE||447.4400|US$|210000.0000|0.0000|1.6700|
00000088||20200820|00000063||PE||70865.2500|US$|230000.0000|16.0000|2.3700|
00000089||20200820|00000063||PE||2160.0000|US$|330000.0000|16.0000|2.3700|
00008951||20200819|00000048||PE||2247.0500|US$|330000.0000|3.0000|1.4300|
00008952||20200819|00000048||PE||3234.0000|US$|330000.0000|3.0000|1.4300|
