numreq|numord|item|descrip|unidad|cantidad|costo|costo_cif|costo_dola|costo_tot|cantdesp|penddesp|estatus|emision|provee
22002SN||54610-D7000|BASE AMORT. DEL TUCSON 15-18 (D3000)||20.0000|8.1200|10.8800|0.0000|162.4000|0.0000|0.0000||20220629|
22002SN||546102E000-DHM|BASE AMORTIGUADOR DEL. TUCSON||50.0000|6.9200|9.2700|0.0000|346.0000|0.0000|0.0000||20220629|
22002SN||54611-07000|BASE AMORTIGUADOR KIA PICANTO||40.0000|2.5000|3.3500|0.0000|100.0000|0.0000|0.0000||20220629|
22002SN||21830-2D000|BASE CAJA LH ELANTRA T/M||40.0000|9.1000|12.1900|0.0000|364.0000|0.0000|0.0000||20220629|
22002SN||21910-2D050|BASE MOTOR DEL. ELANTRA PMC||26.0000|5.1500|6.9000|0.0000|133.9000|0.0000|0.0000||20220629|
22002SN||21910-2E501|BASE MOTOR DEL. TUCSON PMC||100.0000|7.0800|9.4900|0.0000|708.0000|0.0000|0.0000||20220629|
22002SN||21810-2E000-CH|BASE MOTOR RH TUCSON||40.0000|15.2700|20.4600|0.0000|610.8000|0.0000|0.0000||20220629|
22002SN||21930-2F100|BASE MOTOR TRASERA CERATO T/M (2F500)||30.0000|8.5700|11.4800|0.0000|257.1000|0.0000|0.0000||20220629|
22002SN||21930-2E300|BASE MOTOR TRASERA TUCSON||150.0000|6.1200|8.2000|0.0000|918.0000|0.0000|0.0000||20220629|
22002SN||54830-07000|BIELETA KIA PICANTO LH||50.0000|2.9100|3.9000|0.0000|145.5000|0.0000|0.0000||20220629|
22002SN||54840-07000|BIELETA KIA PICANTO RH||50.0000|2.8500|3.8200|0.0000|142.5000|0.0000|0.0000||20220629|
22002SN||55530-2E200|BIELETA TUCSON TRASERA||100.0000|3.0000|4.0200|0.0000|300.0000|0.0000|0.0000||20220629|
22002SN||27301-38020|BOBINA IGNICION H1 06-07 / SONATA 2.4 / STA FE 2.4||20.0000|14.7600|19.7800|0.0000|295.2000|0.0000|0.0000||20220629|
22002SN||0K30A-18-10X|BOBINA KIA RIO DENSO||4.0000|17.2400|23.1000|0.0000|68.9600|0.0000|0.0000||20220629|
22002SN||27301-26640|BOBINA RIO CVVT 1.6 / ACCENT 1.6||16.0000|10.8700|14.5700|0.0000|173.9200|0.0000|0.0000||20220629|
22002SN||27300-2E000|BOBINA HYUNDAI TUCSON 2016||20.0000|10.3000|13.8000|0.0000|206.0000|0.0000|0.0000||20220629|
22002SN||21310-38062|BOMBA ACEITE HYUNDAI H1 2007||19.0000|51.1300|68.5100|0.0000|971.4700|0.0000|0.0000||20220629|
22002SN||21310-02550-PMC|BOMBA ACEITE KIA PICANTO PMC||10.0000|22.4900|30.1400|0.0000|224.9000|0.0000|0.0000||20220629|
22002SN||0K65A14100E|BOMBA ACEITE KIA PREGIO 3.0||40.0000|38.6300|51.7600|0.0000|1545.2000|0.0000|0.0000||20220629|
22002SN||21310-3E100|BOMBA ACEITE SANTA FE 06-09/OPTIMA 2.7||16.0000|34.7000|46.5000|0.0000|555.2000|0.0000|0.0000||20220629|
22002SN||21310-3C300|BOMBA ACEITE SORENTO 3.8/SONATA 3.3||8.0000|46.6500|62.5100|0.0000|373.2000|0.0000|0.0000||20220629|
22002SN||21310-23001|BOMBA ACEITE TUCSON PMC||20.0000|29.4900|39.5200|0.0000|589.8000|0.0000|0.0000||20220629|
22002SN||25100-4Z000|BOMBA AGUA KIA PREGIO 3.0 CUELLO CORTO||50.0000|17.1300|22.9500|0.0000|856.5000|0.0000|0.0000||20220629|
22002SN||41610-2E005|BOMBA CLUTCH TUCSON KAC11990CG||33.0000|10.6600|14.2800|0.0000|351.7800|0.0000|0.0000||20220629|
22002SN||41710-23000|BOMBIN CLUTCH INF. KIA CERATO||50.0000|5.6200|7.5300|0.0000|281.0000|0.0000|0.0000||20220629|
22002SN||41710-39001-PMC|BOMBIN CLUTCH INFERIOR TUCSON/ELAN||43.0000|4.6500|6.2300|0.0000|199.9500|0.0000|0.0000||20220629|
22002SN||41710-39001|BOMBIN INF TUC/ELANT TCIC 11O0869||100.0000|6.8700|9.2100|0.0000|687.0000|0.0000|0.0000||20220629|
22002SN||24321-37100|CADENA LEVA SPORTAGE 2.7 MOBIS||53.0000|5.9400|7.9600|0.0000|314.8200|0.0000|0.0000||20220629|
22002SN||24321-23770|CADENA LEVA TUCSON/ELANTRA||50.0000|4.9200|6.5900|0.0000|246.0000|0.0000|0.0000||20220629|
22002SN||25631-23501|CARCAZA TERMOST. TUCSON SUP. CORTA||100.0000|3.7900|5.0800|0.0000|379.0000|0.0000|0.0000||20220629|
22002SN||231104X000|CIGUENAL PREGIO 3.0 GMP||15.0000|125.5700|168.2600|0.0000|1883.5500|0.0000|0.0000||20220629|
22002SN||41421-02000-K|COLLARIN ACCENT||50.0000|4.5800|6.1400|0.0000|229.0000|0.0000|0.0000||20220629|
22002SN||0K2A116510A|COLLARIN KIA RIO 1.5||130.0000|5.2700|7.0600|0.0000|685.1000|0.0000|0.0000||20220629|
22002SN||41421-39275-K|COLLARIN TUCSON/SPORTAGE||80.0000|4.8700|6.5300|0.0000|389.6000|0.0000|0.0000||20220629|
22002SN||57321-29100|CORREA DIRECCION HIDRAULICA GETZ||200.0000|1.5500|2.0800|0.0000|310.0000|0.0000|0.0000||20220629|
22002SN||25212-2C001|CORREA UNICA H1 09 6PK2352||24.0000|7.2500|9.7200|0.0000|174.0000|0.0000|0.0000||20220629|
22002SN||25212-3C100|CORREA UNICA SORENTO 3.8/ SEDONA||20.0000|6.9300|9.2900|0.0000|138.6000|0.0000|0.0000||20220629|
22002SN||25212-2E820|CORREA UNICA TUCSON 2015-18||20.0000|3.9500|5.2900|0.0000|79.0000|0.0000|0.0000||20220629|
22002SN||58129-44010|DISCO FRENO HYUNDAI H1 09||20.0000|10.9200|14.6300|0.0000|218.4000|0.0000|0.0000||20220629|
22002SN||51712-1C000|DISCO FRENO DEL. GETZ 1.6||40.0000|13.3900|17.9400|0.0000|535.6000|0.0000|0.0000||20220629|
22002SN||97730-2D000|ELECTROVENTILADOR A/A ELANTRA 2.0||25.0000|19.1400|25.6500|0.0000|478.5000|0.0000|0.0000||20220629|
22002SN||97730-FD100-PMC|ELECTROVENTILADOR AUX. RIO PMC||19.0000|18.9300|25.3700|0.0000|359.6700|0.0000|0.0000||20220629|
22002SN||25380-1C160|ELECTROVENTILADOR GETZ 1.6||23.0000|25.0300|33.5400|0.0000|575.6900|0.0000|0.0000||20220629|
22002SN||25380-2F901|ELECTROVENDILADOR KIA CERATO 1.6||1.0000|36.6400|49.1000|0.0000|36.6400|0.0000|0.0000||20220629|
22002SN||25380-07000|ELECTROVENTILADOR KIA PICANTO||4.0000|19.4400|26.0500|0.0000|77.7600|0.0000|0.0000||20220629|
22002SN||22311-2B000|EMPACADURA CAMARA KIA CERATO 1.6||40.0000|2.5400|3.4000|0.0000|101.6000|0.0000|0.0000||20220629|
22002SN||22311-26101|EMPACADURA CAMARA GETZ 1.6||40.0000|1.6700|2.2400|0.0000|66.8000|0.0000|0.0000||20220629|
22002SN||22311-38400|EMPACADURA CAMARA HYUNDAI H1 06-07 CORREA||50.0000|2.2400|3.0000|0.0000|112.0000|0.0000|0.0000||20220629|
22002SN||22311-2C200|EMPACADURA CAMARA H1 2009 DE CADENA||50.0000|4.3000|5.7600|0.0000|215.0000|0.0000|0.0000||20220629|
