codmovban|fecha_mov|tipban|numdoc|concepto|importe|dimporte|tasadolar|tiporg|concilia
00001|20241231|DP|AP000001|APERTURA|8095.7200|0.0000|0.0000||F
00002|20241231|DP|AP000002|APERTURA|591.9300|0.0000|0.0000||F
00003|20241231|DP|AP000003|APERTURA|21011.6800|0.0000|0.0000||F
00004|20241231|DP|AP000004|APERTURA|28785.3300|0.0000|0.0000||F
00005|20241231|DP|AP000005|APERTURA|68554.0400|0.0000|0.0000||F
E0002|20241231|DP|AP000006|APERTURA|25238.0300|0.0000|0.0000||F
E0003|20241231|DP|AP000007|APERTURA|1036.0000|0.0000|0.0000||F
E0004|20241231|DP|AP000008|APERTURA|81.1700|0.0000|0.0000||F
E0005|20241231|DP|AP000009|APERTURA|3919.3200|0.0000|0.0000||F
E0007|20241231|DP|AP000010|APERTURA|84825.2100|0.0000|0.0000||F
E0008|20241231|DP|AP000011|APERTURA|12098.5300|0.0000|0.0000||F
E0009|20241231|DP|AP000012|APERTURA|1505.1400|0.0000|0.0000||F
E0011|20241231|DP|AP000013|APERTURA|719.6000|0.0000|0.0000||F
E0012|20241231|DP|AP000014|APERTURA|45218.0500|0.0000|0.0000||F
E0013|20241231|DP|AP000015|APERTURA|40695.0000|0.0000|0.0000||F
E0014|20241231|DP|AP000016|APERTURA|3000.0000|0.0000|0.0000||F
E0015|20241231|DP|AP000017|APERTURA|4036.4000|0.0000|0.0000||F
E0016|20241231|DP|AP000018|APERTURA|1716.8700|0.0000|0.0000||F
E0017|20241231|CH|AP000019|APERTURA|-4442.9600|0.0000|0.0000||F
E0018|20241231|DP|AP000020|APERTURA|4360.0000|0.0000|0.0000||F
E0020|20241231|DP|AP000021|APERTURA|450.0000|0.0000|0.0000||F
E0023|20241231|CH|AP000022|APERTURA|-995.1000|0.0000|0.0000||F
IGTF1|20241231|CH|AP000023|APERTURA|-14665.9600|0.0000|0.0000||F
V0000|20241231|DP|AP000024|APERTURA|10011.6800|0.0000|0.0000||F
V0001|20241231|DP|AP000025|APERTURA|150242.2700|0.0000|0.0000||F
