numreq|numtra|emision|provee|nomprv|estatus|almacen|moneda|cambio|comen1|comen2|comen3|comen4|fecha_orde|fecha_desp|fecha_rece|naviera|contenedor|total_orde|total_desp|costo_flet|costo_naci
22002SN||20220629|00000096||OK||US$|0.0000|MERCANCIA POR RECIBR 17/08||||||||0.0000|0.0000|0.0000|0.0000|0.0000
22002SN2||20220901|00000096||OK||US$|0.0000|MERCANCIA RECIBIDA EL 17/08|2/2|||||||0.0000|0.0000|0.0000|0.0000|0.0000
22002SN3||20220629|00000096||OK||US$|0.0000|INCLUSION KITS CADENA Y TIEMPO||||||||0.0000|0.0000|0.0000|0.0000|0.0000
02220721||20220915|00000063||OK||US$|0.0000|MERCANCIA POR RECIBIR 15/09||||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C001||20221103|00000096||OK||US$|0.0000|MERCANCIA POR RECIBIR FACT 1||||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C002||20221104|00000096||OK||US$|0.0000|FACTURA DOS PMC POR LLEGAR||||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C003||20221104|00000096||OK||US$|0.0000|FACTURA 3 PMC POR LLEGAR||||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C004||20221109|00000096||OK||US$|0.0000||MERCANCIA POR RECIBIR 4|||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C005||20221109|00000096||OK||US$|0.0000||PARTE 5 MERCANCIA POR LLEGAR|||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C006||20221109|00000096||OK||US$|0.0000|MERCANCIA TRANSITO 6||||||||0.0000|0.0000|0.0000|0.0000|0.0000
S1112212||20230116|00000063||OK|02|US$|0.0000|POR LLEGAR 11/02||||||||0.0000|0.0000|0.0000|0.0000|0.0000
23001SN||20230403|00000096||OK|02|US$|0.0000|FACT 21/02 EMBAR 04/03 AUN X R|ECIBIR|||||||0.0000|0.0000|0.0000|0.0000|0.0000
02211124||20230410|00000063||OK|02|US$|0.0000|MERCANCIA RECIBIDA EN CONTEN T|OYOTA 07/04|||||||0.0000|0.0000|0.0000|0.0000|0.0000
4599||20230413|00000082||OK|01|US$|0.0000|COMPRADO A EXCELSO A CREDITO||||||||0.0000|0.0000|0.0000|0.0000|0.0000
SS230417||20230417|00000063||OK|01|US$|0.0000|MERCANCIA RECI CON SEND 01/06||||||||0.0000|0.0000|0.0000|0.0000|0.0000
S09568||20230516|00000048||OK|01|US$|0.0000|MERCANC RECI CON REACA 01/06||||||||0.0000|0.0000|0.0000|0.0000|0.0000
00005309||20230607|00000018||OK|01|US$|0.0000|MERCANCIA RECIBIDA 12/06/23||||||||0.0000|0.0000|0.0000|0.0000|0.0000
D0005395||20230629|00000082||OK|01|US$|0.0000|A CREDITO||||||||0.0000|0.0000|0.0000|0.0000|0.0000
00000758||20230703|00000104||OK|01|US$|0.0000|MERCANCIA RECIBIDA 03/07/2023||||||||0.0000|0.0000|0.0000|0.0000|0.0000
SS230613||20230613|00000063||OK|01|US$|0.0000|SE ESPERA 28/07/23||||||||0.0000|0.0000|0.0000|0.0000|0.0000
SS002613||20230803|00000063||OK|01|US$|0.0000|BOMBINES H1 QUE FALTABAN||||||||0.0000|0.0000|0.0000|0.0000|0.0000
SS260613||20230803|00000063||OK|01|US$|0.0000|SENSOR POSICION  TUC QUE FALTO||||||||0.0000|0.0000|0.0000|0.0000|0.0000
