item|cantidad|despacho
24100-26601-SEO|100.0000|96.0000
92101-1F511|10.0000|0.0000
92102-1F011|10.0000|0.0000
54500-1C000-CH|30.0000|0.0000
54501-1C000-CH|30.0000|0.0000
55311-22000|200.0000|0.0000
23510-25240-SEO|50.0000|0.0000
21930-1C250-SE|200.0000|0.0000
21830-2D050-OEM|150.0000|0.0000
21830-2E100|256.0000|136.0000
21830-1C370-KP|50.0000|0.0000
21813-4A021-SE|50.0000|0.0000
21830-2E000|303.0000|183.0000
41426-39260-SE|200.0000|0.0000
21910-2D050-DHM|150.0000|0.0000
21910-2E002-DHM|100.0000|50.0000
21910-1G100-KP|50.0000|0.0000
0K30F39050A-KP|450.0000|250.0000
21930-2E300-SEO|430.0000|80.0000
25620-26160-SE|150.0000|120.0000
25611-26100-SE|300.0000|297.0000
24350-2B000-SE|300.0000|100.0000
31112-1C000|100.0000|0.0000
21832-4H400-SEO|150.0000|0.0000
25460-3E700-SE|100.0000|0.0000
21930-1C250-SE|200.0000|0.0000
23510-26030-SEO|120.0000|0.0000
23510-3E101-SEO|50.0000|0.0000
23510-4Z100-SE|50.0000|40.0000
0K30C-11210-SEO|100.0000|0.0000
23510-23700-SEO|50.0000|0.0000
23124-02210-SEO|100.0000|0.0000
0K32A-13202-SEO|300.0000|0.0000
23124-2X010-SEO|70.0000|0.0000
23410-22460-050|30.0000|29.0000
27501-26D00-SE|430.0000|0.0000
0K30E-18140-SE|385.0000|0.0000
27501-23B70-SE|345.0000|0.0000
27501-37A00-SE|600.0000|0.0000
21810-1C220-KP|50.0000|0.0000
0K30E-10100-SEO|20.0000|0.0000
92102-FD021-SE|20.0000|0.0000
92101-FD021-SE|20.0000|0.0000
0K75A-10311B-SE|50.0000|0.0000
23410-26511-050|50.0000|0.0000
23410-26111-030|50.0000|0.0000
0K3Y1-11-SA0-ST|40.0000|0.0000
23410-23942-050|300.0000|0.0000
23410-23942-075|50.0000|0.0000
25411-2D000-SE|200.0000|0.0000
86510-FD040-SEO|20.0000|0.0000
25310-FD010-SE|50.0000|0.0000
0K241-20660-SEO|50.0000|0.0000
0K65A-15172C-SE|100.0000|0.0000
21832-4H400-SEO|100.0000|0.0000
23510-38001-SEO|40.0000|0.0000
98510-3E000|100.0000|0.0000
55160-1C200-SEO|200.0000|0.0000
23121-23000|300.0000|0.0000
25469-26102-seo|200.0000|0.0000
97310-07000-SEO|100.0000|0.0000
25461-22601|100.0000|0.0000
21930-1G000|50.0000|0.0000
21810-2E000|100.0000|0.0000
25100-37201-SEO|48.0000|47.0000
0K72A-34200A-SE|50.0000|0.0000
86821-2E000-SEO|50.0000|19.0000
86822-2E000-SEO|50.0000|19.0000
25620-37350-SEO|50.0000|0.0000
25620-3C100-SEO|50.0000|0.0000
24200-23770-SEO|50.0000|0.0000
35301-23500-SEO|100.0000|0.0000
93110-4A000-SEO|100.0000|0.0000
93110-22000-SEO|100.0000|0.0000
21310-3C300-SE|30.0000|0.0000
57100-2E100-SE|20.0000|0.0000
57100-2E000-SE|20.0000|0.0000
41700-4A101-SE|100.0000|0.0000
0K79A-32110A-SE|20.0000|0.0000
58330-FD200-SEO|150.0000|0.0000
51712-2D300-SEO|50.0000|0.0000
20910-23C21-SE|150.0000|0.0000
KSP61-10270C-SE|100.0000|0.0000
22311-3C100/120|100.0000|0.0000
31110-1C000-SE|70.0000|0.0000
54610-25000-SEO|300.0000|0.0000
54610-2D000|200.0000|0.0000
54610-4H000-SEO|100.0000|0.0000
54610-2E200-SEO|300.0000|0.0000
54610-1D000-SEO|100.0000|0.0000
54610-FD000-RE|200.0000|0.0000
54611-07000-SEO|100.0000|0.0000
54620-1D000-SEO|100.0000|0.0000
KITCADSON|50.0000|0.0000
54615-FD000-RE|200.0000|0.0000
31102-4A250|100.0000|0.0000
31110-22040|50.0000|0.0000
21810-2D050-DHM|50.0000|0.0000
0K65A14100E-SEO|50.0000|0.0000
24321-26060-OEM|500.0000|0.0000
25620-23501-SEO|100.0000|0.0000
0K75A10271-SEON|150.0000|0.0000
94460-22020-SEO|100.0000|0.0000
24431-23500-SEO|500.0000|0.0000
24431-26000|500.0000|0.0000
20910-26E00-SEO|100.0000|0.0000
54500-FD000-SEO|50.0000|0.0000
54501-FD000-SEO|50.0000|0.0000
51750-FD000-KP|100.0000|0.0000
46512-39800-SE|100.0000|0.0000
42700-39055-SE|100.0000|0.0000
24410-23770-DHM|200.0000|0.0000
24410-26000-SE|150.0000|0.0000
22100-23740-ASS|10.0000|0.0000
22100-38410-ASS|10.0000|0.0000
0K75A-10-100-AS|10.0000|0.0000
0K30E-10100-ASS|20.0000|0.0000
